MELI,MELI,MELI,MELI,MELI
Open,High,Low,Close,Volume
2078.760009765625,2124.52001953125,2074.219970703125,2102.639892578125,218900
2138.449951171875,2157.639892578125,2098.929931640625,2109.39990234375,360800
2116.14990234375,2118.610107421875,2094.679931640625,2103.75,319400
2117.830078125,2140.969970703125,2100.0,2102.6298828125,226500
2116.280029296875,2124.330078125,2092.0,2111.0,303100
2097.14990234375,2132.679931640625,2088.75,2131.2900390625,234900
2147.800048828125,2161.72998046875,2098.320068359375,2100.2099609375,328900
2100.2099609375,2100.2099609375,2055.52001953125,2064.7099609375,321200
2055.300048828125,2064.8701171875,2030.25,2051.9599609375,398600
2060.0,2067.719970703125,2033.239990234375,2066.1201171875,349100
1993.219970703125,2015.4200439453125,1952.4200439453125,1970.719970703125,514600
1956.6500244140625,1970.010009765625,1942.3199462890625,1959.199951171875,243200
1966.0,1972.2099609375,1937.280029296875,1960.0,315800
1961.0,1985.0,1951.010009765625,1963.22998046875,252000
1963.050048828125,2018.510009765625,1963.050048828125,2014.22998046875,268900
2007.699951171875,2052.5,2002.9200439453125,2047.989990234375,274700
2044.0,2059.820068359375,2026.0999755859375,2040.5,197300
2058.2099609375,2107.10009765625,2043.0,2091.159912109375,343000
2091.820068359375,2105.0400390625,2073.409912109375,2079.9599609375,201700
2075.47998046875,2082.989990234375,2018.3900146484375,2033.6199951171875,330700
2029.3199462890625,2063.969970703125,2029.3199462890625,2046.469970703125,230300
2066.85009765625,2079.93994140625,2046.030029296875,2065.8701171875,199700
2065.8701171875,2088.330078125,2046.6700439453125,2079.7900390625,229900
2065.0,2102.97998046875,2065.0,2100.580078125,217200
2077.919921875,2090.010009765625,2061.02001953125,2067.820068359375,188600
2062.2900390625,2075.239990234375,2028.4200439453125,2038.699951171875,163600
2038.699951171875,2063.989990234375,2029.8800048828125,2055.929931640625,130900
2053.989990234375,2092.52001953125,2044.93994140625,2047.3499755859375,217100
2056.0,2082.0,2044.6199951171875,2056.090087890625,286200
2058.239990234375,2075.679931640625,2023.5,2026.5699462890625,338400
2015.3299560546875,2026.22998046875,1962.3800048828125,2020.719970703125,366600
2015.25,2048.340087890625,1990.1800537109375,2037.1800537109375,324100
2030.43994140625,2060.860107421875,2021.9100341796875,2054.89990234375,344800
2059.0,2084.18994140625,2047.699951171875,2063.699951171875,249700
2064.68994140625,2094.919921875,2055.330078125,2090.010009765625,287300
2101.840087890625,2122.159912109375,2083.320068359375,2117.300048828125,508900
1920.0,1920.0,1749.9100341796875,1774.050048828125,2966800
1824.5,1873.0799560546875,1793.0999755859375,1872.010009765625,1356900
1894.1400146484375,1967.0,1882.300048828125,1961.1600341796875,987200
1980.02001953125,2004.6199951171875,1954.3699951171875,1977.3900146484375,637100
1968.1199951171875,1975.800048828125,1925.3900146484375,1930.949951171875,456100
1923.77001953125,1923.77001953125,1848.0,1876.199951171875,547000
1875.9000244140625,1885.010009765625,1852.7900390625,1880.0,463700
1880.0,1918.8699951171875,1858.3199462890625,1916.1199951171875,359900
1892.06005859375,1921.4100341796875,1880.0,1916.510009765625,342900
1923.52001953125,1945.93994140625,1905.4100341796875,1931.260009765625,439300
1917.010009765625,1970.56005859375,1880.0,1968.1500244140625,385500
1967.5,2007.5799560546875,1955.1700439453125,2005.0,414200
2034.0,2106.14990234375,2024.93994140625,2099.949951171875,655900
2094.550048828125,2146.820068359375,2089.409912109375,2110.0,393000
2110.0,2115.199951171875,2038.6700439453125,2044.760009765625,282300
1984.97998046875,1998.3499755859375,1940.510009765625,1985.1700439453125,374200
1988.0,2000.0,1931.7900390625,1952.43994140625,384800
1952.43994140625,1958.3900146484375,1928.1300048828125,1929.489990234375,299500
1929.489990234375,2000.0,1921.6300048828125,1987.4300537109375,367400
1979.5400390625,2007.0,1965.5,1984.949951171875,325500
1977.969970703125,1994.75,1943.469970703125,1947.1800537109375,311000
1941.68994140625,1965.77001953125,1839.989990234375,1844.300048828125,584200
1857.0,1880.550048828125,1842.6199951171875,1879.1800537109375,393100
1897.969970703125,1903.1300048828125,1872.469970703125,1897.8699951171875,283200
1892.1600341796875,1924.949951171875,1870.77001953125,1870.77001953125,231900
1857.0,1878.4100341796875,1813.02001953125,1823.8599853515625,411200
1825.989990234375,1829.6099853515625,1793.5400390625,1796.719970703125,562900
1795.0,1826.1199951171875,1780.510009765625,1809.1199951171875,559600
1819.5,1847.97998046875,1701.5,1716.3800048828125,773900
1746.969970703125,1746.969970703125,1662.77001953125,1666.0,930400
1651.760009765625,1727.1700439453125,1646.0,1720.3599853515625,717600
1725.219970703125,1758.3199462890625,1719.06005859375,1729.8499755859375,502500
