FXI,FXI,FXI,FXI,FXI
Open,High,Low,Close,Volume
25.697420959403438,25.716850492627238,25.415671417249914,25.4448184967041,24625600
26.202622995418686,26.396933144603732,26.008314699312553,26.358070373535156,55028200
26.503802681085908,26.59124205885047,26.33863961787272,26.377500534057617,29824600
26.717544857834998,27.096447628288104,26.68839777815437,26.892423629760742,44176400
28.563483301318982,29.632185441973153,28.44689869140265,29.535030364990234,167712300
28.602346586113708,29.039541660756232,28.582915199752975,28.718931198120117,77309300
30.95348938877604,31.176944763969047,30.370560792250824,31.011781692504883,165220600
30.836903601008014,31.516985434225674,30.798042682033934,31.254667282104492,100738300
31.84731197744151,31.876460909920038,30.846619674750855,30.87576675415039,98506800
31.08950663169592,32.18735587235192,30.89519647401622,32.158206939697266,96803000
34.11101812478795,34.53849750016929,33.46979720863695,34.470489501953125,222092500
33.18804545297652,33.955568474332765,33.12975129861709,33.51837158203125,113214100
34.57736222145903,34.80081761478802,34.315044053770706,34.693946838378906,107027700
35.50033110565554,36.433015410691326,34.995126180555,35.646060943603516,218993700
32.43995472595913,32.85772024518749,31.35182309051118,32.38166427612305,322806900
31.30324743392096,32.18735510956151,31.264384662074406,31.85702896118164,100519700
32.459384308688726,32.61483167654867,31.798732068744584,32.2747917175293,101466300
31.740440908845446,32.69256029619174,31.575279686364887,32.42052459716797,80108800
31.963898072014384,32.66340939816382,31.682148549984255,31.80845069885254,94628100
31.01178290353315,31.07979090271904,30.088812435235777,30.21511459350586,130081500
30.662024651511135,31.021497878559096,30.594016653899644,30.74946403503418,54401700
30.147105863412307,30.166535396223644,29.777916943812638,29.972227096557617,68374500
31.5267029803179,31.546134366344425,31.147800218195506,31.254667282104492,95862500
30.77861221900814,30.992351912472714,30.594017752378402,30.836904525756836,42006300
30.875766122967434,31.3421064122739,30.856334737098305,31.079790115356445,48538400
31.429545364487012,31.448976750089603,30.93405800317345,31.011781692504883,33813200
30.89519649112314,31.011782956411313,30.564870334732145,30.82718849182129,39802900
31.108935765956108,31.186657599706535,30.81747055053711,30.81747055053711,29534300
30.972919196461728,31.45869457544745,30.943773970877842,31.351823806762695,41390700
31.56556529150431,31.57527913129678,31.070074220457087,31.128368377685547,42026100
30.516292286116137,30.875765505186685,30.448284290013877,30.730031967163086,29217600
30.662023544311523,30.70088631473131,30.331697408058908,30.662023544311523,28257800
30.97292044317743,31.079791216163922,30.73003367044741,30.77861213684082,26861800
31.070074253064206,31.38096901295985,30.953489644642808,30.963205337524414,49254600
31.721013627786334,31.847312079686183,31.516985924413525,31.71129608154297,49509800
30.652309977296962,31.031214602849523,30.360846591252542,30.77861213684082,89205700
32.14849234968974,32.663411105295665,32.02219019422035,32.46910095214844,120391100
31.040928952736724,31.225521557805838,30.438568967080485,30.5745849609375,154495900
30.749463726227344,30.768895111943753,30.516292656867197,30.5745849609375,28330000
29.71962370897995,29.84592400715565,29.34072096137395,29.447589874267578,91688500
29.700194852301337,29.73905762617417,29.360152993230244,29.40873146057129,35393100
29.32129092253985,29.3698675348968,29.000680462978593,29.097835540771484,42048600
29.30185856080571,29.340721331860582,29.126979797216617,29.292142868041992,32416100
29.64190038868506,29.855640070202984,29.58360808519452,29.845924377441406,38681500
29.56417710263069,29.622469406915755,29.486453412557626,29.525314331054688,22523600
29.63218600453453,29.71962539017128,29.55446231208842,29.661333084106445,35646500
29.467022623828047,29.5544620085668,29.379583239089293,29.486454010009766,22478000
28.825802530497782,28.893810531003663,28.738363143253356,28.845233917236328,53262300
28.738361582801474,28.91324034779466,28.67035358598833,28.854948043823242,24744100
28.854947732834965,28.88409295796709,28.524621592092185,28.680068969726562,22186000
29.447589874267578,29.564176332881136,29.34072096137395,29.447589874267578,43782000
29.19498742483728,29.457305566908616,29.049255741379504,29.447589874267578,23104600
29.467023304619552,29.54474699806314,29.262999304234775,29.50588607788086,25058400
29.58360837110138,29.797348054684964,29.564176985390436,29.632184982299805,34867900
29.709908963364366,29.709908963364366,29.350435736503073,29.418445587158203,46481600
