ADBE,ADBE,ADBE,ADBE,ADBE
Open,High,Low,Close,Volume
517.010009765625,517.5800170898438,506.489990234375,508.1300048828125,3997300
518.8099975585938,527.47998046875,518.02001953125,526.4400024414062,3582500
526.4400024414062,528.6300048828125,515.719970703125,522.2999877929688,6100700
525.7100219726562,532.0,524.9600219726562,527.8699951171875,2107000
527.719970703125,530.2999877929688,521.7100219726562,524.0700073242188,2842100
526.02001953125,526.1799926757812,516.239990234375,517.9000244140625,3211600
520.510009765625,521.3599853515625,512.1099853515625,515.3800048828125,3282400
516.52001953125,516.6799926757812,512.2999877929688,515.47998046875,2718300
513.8300170898438,518.469970703125,511.739990234375,517.780029296875,2587000
517.4500122070312,519.0,502.5,502.79998779296875,3730000
503.8699951171875,510.19000244140625,502.82000732421875,505.80999755859375,1981600
501.0199890136719,509.80999755859375,498.5899963378906,503.79998779296875,1921600
507.2900085449219,508.55999755859375,503.5899963378906,507.2200012207031,1949300
503.9599914550781,504.8699951171875,486.3999938964844,487.29998779296875,4870500
492.45001220703125,500.0,486.3999938964844,496.239990234375,3551600
495.8800048828125,495.8800048828125,492.32000732421875,494.0799865722656,2869400
490.5400085449219,506.45001220703125,489.3500061035156,503.57000732421875,2775100
504.7799987792969,507.9800109863281,494.8999938964844,495.4200134277344,2992400
501.79998779296875,514.260009765625,500.4100036621094,509.6499938964844,3411500
513.8200073242188,517.77001953125,506.79998779296875,508.0299987792969,3605700
506.3900146484375,506.8399963378906,500.25,502.5400085449219,1859100
506.510009765625,507.5,495.2300109863281,496.8299865722656,2769200
491.2900085449219,499.0,491.04998779296875,494.8999938964844,2011100
494.6000061035156,500.6499938964844,492.9599914550781,497.7099914550781,1679700
496.42999267578125,497.3399963378906,488.3599853515625,493.1099853515625,2388700
492.0,493.8299865722656,483.3900146484375,485.0299987792969,2021300
486.6300048828125,488.4700012207031,480.05999755859375,482.8699951171875,2100300
483.4200134277344,488.3399963378906,482.5199890136719,483.7200012207031,2426800
487.6499938964844,488.489990234375,480.4800109863281,481.0400085449219,2302300
481.9200134277344,487.55999755859375,479.3299865722656,485.3900146484375,2089500
482.239990234375,492.20001220703125,482.239990234375,486.67999267578125,2728600
486.0,486.04998779296875,477.3800048828125,478.0799865722656,2978700
475.4100036621094,485.1600036621094,475.04998779296875,482.79998779296875,2851600
479.0299987792969,483.760009765625,477.3699951171875,481.3500061035156,1954900
483.0899963378906,486.6600036621094,480.4700012207031,486.4200134277344,1588100
492.92999267578125,506.2099914550781,492.92999267578125,504.8299865722656,2969900
510.6600036621094,510.6600036621094,495.29998779296875,500.9200134277344,2640300
503.8299865722656,505.0,493.69000244140625,494.67999267578125,2856900
493.6000061035156,507.7200012207031,493.6000061035156,504.4800109863281,3536600
504.3900146484375,528.9099731445312,504.2699890136719,526.4199829101562,4125300
523.7899780273438,539.9199829101562,520.5900268554688,532.5,3470200
530.5499877929688,534.6400146484375,523.4600219726562,529.8699951171875,3098800
520.2999877929688,524.5,498.80999755859375,503.3699951171875,4612400
505.0,505.510009765625,497.69000244140625,499.510009765625,2259000
496.0,502.4100036621094,495.4599914550781,499.6099853515625,1961700
505.4100036621094,506.3599853515625,494.6099853515625,499.5,1874900
502.1000061035156,508.57000732421875,493.1000061035156,504.44000244140625,2002100
502.5,513.3699951171875,502.5,512.1500244140625,2287200
519.0900268554688,523.2100219726562,513.1900024414062,518.72998046875,3320000
519.9500122070312,525.760009765625,516.3599853515625,525.2999877929688,2415700
523.2100219726562,525.8800048828125,508.7200012207031,513.6799926757812,2324200
517.6500244140625,517.6500244140625,513.5800170898438,515.9299926757812,1450200
512.8499755859375,518.77001953125,511.5299987792969,516.2000122070312,2006900
511.0400085449219,516.780029296875,504.510009765625,516.260009765625,2119300
523.02001953125,541.77001953125,521.010009765625,536.489990234375,3307000
534.4199829101562,540.1099853515625,529.7899780273438,538.219970703125,2629100
544.1500244140625,554.3699951171875,542.9000244140625,552.9600219726562,2964100
556.0999755859375,557.9000244140625,546.1099853515625,547.9299926757812,3588700
547.3499755859375,552.8300170898438,544.219970703125,547.0499877929688,2762900
547.0499877929688,552.2999877929688,541.739990234375,549.9299926757812,6690600
487.5,494.0,470.8999938964844,474.6300048828125,17344900
473.9800109863281,474.9100036621094,456.79998779296875,465.69000244140625,11395500
467.19000244140625,473.6199951171875,461.20001220703125,461.5299987792969,5807000
460.5899963378906,465.8599853515625,452.4800109863281,455.2300109863281,7514500
453.239990234375,455.25,441.1000061035156,441.30999755859375,6511100
443.4100036621094,449.0,437.1099853515625,437.3900146484375,6479500
433.0199890136719,451.4200134277344,432.4700012207031,447.1700134277344,8220000
447.0,451.42999267578125,443.4200134277344,446.739990234375,3781200
446.5,448.8699951171875,442.57000732421875,447.94000244140625,1685000
445.8500061035156,452.3399963378906,444.67999267578125,450.1600036621094,2131200
446.8800048828125,449.9100036621094,441.1099853515625,446.4800109863281,2947200
442.94000244140625,447.6000061035156,438.57000732421875,445.79998779296875,3473200
446.3500061035156,448.5,442.80999755859375,444.67999267578125,2285100
447.760009765625,450.1199951171875,440.55999755859375,441.0,2504700
429.45001220703125,433.29998779296875,425.32000732421875,430.57000732421875,5617000
431.8800048828125,436.4100036621094,427.7900085449219,431.17999267578125,3994400
431.3699951171875,435.17999267578125,420.510009765625,422.6300048828125,4181400
417.3399963378906,422.6600036621094,415.510009765625,419.5799865722656,3508800
410.0,413.1000061035156,405.32000732421875,405.9200134277344,5564300
404.2699890136719,409.9599914550781,403.75,408.5,4558800
407.25,412.75,405.07000732421875,412.7099914550781,3577100
