BITF,BITF,BITF,BITF,BITF
Open,High,Low,Close,Volume
2.0399999618530273,2.0899999141693115,1.940000057220459,1.9600000381469727,14849200
2.069999933242798,2.109999895095825,2.0199999809265137,2.0299999713897705,16763600
2.0399999618530273,2.049999952316284,1.9700000286102295,2.0,11957900
2.009999990463257,2.069999933242798,1.9900000095367432,2.049999952316284,17258500
2.069999933242798,2.2100000381469727,2.0399999618530273,2.2100000381469727,14925700
2.190000057220459,2.25,2.119999885559082,2.130000114440918,15661300
2.180000066757202,2.2699999809265137,2.1500000953674316,2.200000047683716,18194000
2.2699999809265137,2.299999952316284,2.2100000381469727,2.25,17627300
2.1700000762939453,2.190000057220459,2.0850000381469727,2.109999895095825,16109700
2.0999999046325684,2.1050000190734863,1.9600000381469727,1.9800000190734863,16656100
1.9500000476837158,2.009999990463257,1.9299999475479126,1.9800000190734863,19152500
1.9700000286102295,1.9900000095367432,1.9199999570846558,1.9700000286102295,11767400
2.0399999618530273,2.059999942779541,1.9539999961853027,2.0199999809265137,17638100
2.0199999809265137,2.0299999713897705,1.850000023841858,1.8899999856948853,18692500
1.899999976158142,1.9299999475479126,1.8200000524520874,1.840000033378601,15005900
1.850000023841858,1.8600000143051147,1.7599999904632568,1.7799999713897705,13097300
1.7799999713897705,1.7899999618530273,1.7200000286102295,1.75,14934500
1.7899999618530273,1.8650000095367432,1.774999976158142,1.850000023841858,14649400
1.9500000476837158,1.9550000429153442,1.850000023841858,1.909999966621399,20312400
1.8700000047683716,1.937999963760376,1.840000033378601,1.850000023841858,24302000
1.8799999952316284,1.9299999475479126,1.840000033378601,1.9299999475479126,22574300
1.899999976158142,1.909999966621399,1.8300000429153442,1.8700000047683716,20556500
1.8899999856948853,2.069999933242798,1.8700000047683716,2.059999942779541,33584800
2.0399999618530273,2.1600000858306885,2.0,2.1500000953674316,31790700
2.130000114440918,2.1600000858306885,2.059999942779541,2.0999999046325684,20146700
2.069999933242798,2.0950000286102295,1.909999966621399,1.9700000286102295,18876600
2.009999990463257,2.049999952316284,1.9299999475479126,1.9900000095367432,26139900
2.009999990463257,2.0299999713897705,1.8899999856948853,1.899999976158142,26751500
1.9700000286102295,2.177999973297119,1.9700000286102295,2.140000104904175,45048900
2.259999990463257,2.365000009536743,2.2300000190734863,2.25,58101300
2.190000057220459,2.2899999618530273,2.140000104904175,2.140000104904175,37582100
2.069999933242798,2.0799999237060547,1.9199999570846558,1.9249999523162842,32327800
1.9299999475479126,2.0199999809265137,1.850000023841858,1.8600000143051147,21857300
1.809999942779541,1.8300000429153442,1.7100000381469727,1.7300000190734863,32372600
1.7899999618530273,1.8550000190734863,1.7400000095367432,1.809999942779541,26211800
2.0,2.1700000762939453,1.9700000286102295,2.130000114440918,57226200
2.109999895095825,2.2699999809265137,2.109999895095825,2.25,40789900
2.240000009536743,2.259999990463257,2.1500000953674316,2.240000009536743,30993100
2.484999895095825,2.690000057220459,2.4600000381469727,2.640000104904175,64905900
2.549999952316284,2.75,2.490000009536743,2.690000057220459,58791400
2.690000057220459,2.759999990463257,2.25,2.265000104904175,53978500
2.3499999046325684,2.380000114440918,2.0999999046325684,2.109999895095825,39328000
2.190000057220459,2.2799999713897705,2.0999999046325684,2.25,42079300
2.2200000286102295,2.319999933242798,2.069999933242798,2.1600000858306885,50295500
2.140000104904175,2.299999952316284,2.049999952316284,2.2300000190734863,54501500
2.2799999713897705,2.3299999237060547,2.0999999046325684,2.1700000762939453,79548500
2.265000104904175,2.2950000762939453,2.0,2.049999952316284,70554900
2.0299999713897705,2.1500000953674316,1.9600000381469727,2.109999895095825,55789700
2.130000114440918,2.1700000762939453,2.0199999809265137,2.049999952316284,56665600
1.975000023841858,2.0899999141693115,1.940000057220459,1.9700000286102295,48087400
2.009999990463257,2.180000066757202,2.0,2.1500000953674316,61445900
2.1700000762939453,2.2899999618530273,2.1500000953674316,2.1500000953674316,30681600
2.130000114440918,2.190000057220459,2.0,2.0399999618530273,52185100
1.9620000123977661,2.0299999713897705,1.930999994277954,1.9900000095367432,45872800
2.0399999618530273,2.1700000762939453,1.9900000095367432,2.140000104904175,46581400
2.259999990463257,2.369999885559082,2.0799999237060547,2.0799999237060547,63232500
2.119999885559082,2.3299999237060547,2.109999895095825,2.2899999618530273,67897000
2.2300000190734863,2.3499999046325684,2.109999895095825,2.140000104904175,46416500
2.140000104904175,2.140000104904175,1.9800000190734863,2.009999990463257,51172300
2.069999933242798,2.125,2.009999990463257,2.069999933242798,50880700
2.118000030517578,2.1600000858306885,2.0,2.0199999809265137,66737100
2.0199999809265137,2.0199999809265137,1.9299999475479126,1.9299999475479126,41573000
1.972000002861023,2.1700000762939453,1.9600000381469727,2.0999999046325684,71288600
2.1500000953674316,2.1500000953674316,2.0199999809265137,2.069999933242798,57674600
2.0399999618530273,2.0799999237060547,1.7999999523162842,1.8200000524520874,64442500
1.899999976158142,1.899999976158142,1.690000057220459,1.690000057220459,34279500
1.6349999904632568,1.7100000381469727,1.590000033378601,1.6799999475479126,55861200
1.6799999475479126,1.6799999475479126,1.559999942779541,1.590000033378601,35536300
1.6449999809265137,1.7200000286102295,1.6200000047683716,1.690000057220459,33441400
1.7000000476837158,1.7000000476837158,1.6200000047683716,1.659999966621399,25683500
1.659999966621399,1.6950000524520874,1.5499999523162842,1.6299999952316284,45531100
1.600000023841858,1.6050000190734863,1.5,1.5399999618530273,37058400
1.590000033378601,1.5989999771118164,1.4800000190734863,1.4900000095367432,40174400
1.559999942779541,1.6399999856948853,1.5199999809265137,1.6100000143051147,36537700
1.6100000143051147,1.75,1.5800000429153442,1.7200000286102295,47979200
1.7699999809265137,1.8200000524520874,1.7300000190734863,1.7599999904632568,59313500
1.7400000095367432,1.7599999904632568,1.6100000143051147,1.690000057220459,46546100
1.649999976158142,1.6649999618530273,1.5700000524520874,1.6200000047683716,41966300
1.600000023841858,1.6200000047683716,1.5299999713897705,1.6100000143051147,42970000
1.5299999713897705,1.5700000524520874,1.4700000286102295,1.559999942779541,31066700
1.6200000047683716,1.625,1.5299999713897705,1.5700000524520874,33723500
1.6399999856948853,1.690000057220459,1.6100000143051147,1.6699999570846558,45215200
1.649999976158142,1.690000057220459,1.6200000047683716,1.6399999856948853,38016900
1.7200000286102295,1.7799999713897705,1.6699999570846558,1.6799999475479126,49313600
1.7400000095367432,1.7400000095367432,1.6299999952316284,1.6699999570846558,53222700
1.6200000047683716,1.6799999475479126,1.5800000429153442,1.659999966621399,46341300
1.6299999952316284,1.7300000190734863,1.6100000143051147,1.6100000143051147,56061900
1.6299999952316284,1.7000000476837158,1.6100000143051147,1.6299999952316284,38079800
1.5700000524520874,1.5700000524520874,1.3600000143051147,1.399999976158142,57755900
1.4279999732971191,1.4500000476837158,1.3700000047683716,1.399999976158142,23267900
1.399999976158142,1.4600000381469727,1.3600000143051147,1.440000057220459,51694400
1.4500000476837158,1.5399999618530273,1.440000057220459,1.5,53848400
1.5,1.5399999618530273,1.4299999475479126,1.4500000476837158,59498100
1.315000057220459,1.4900000095367432,1.309999942779541,1.399999976158142,64703900
1.3899999856948853,1.5,1.3899999856948853,1.4800000190734863,27029600
1.4600000381469727,1.5,1.409999966621399,1.409999966621399,31077700
1.4199999570846558,1.4850000143051147,1.3899999856948853,1.409999966621399,29468300
1.4600000381469727,1.5049999952316284,1.409999966621399,1.4199999570846558,41253000
1.4199999570846558,1.440000057220459,1.3799999952316284,1.3899999856948853,29161900
1.3949999809265137,1.399999976158142,1.309999942779541,1.309999942779541,37749000
1.2899999618530273,1.399999976158142,1.2799999713897705,1.3600000143051147,51930300
1.3700000047683716,1.4199999570846558,1.340000033378601,1.399999976158142,32915500
1.399999976158142,1.4500000476837158,1.3899999856948853,1.4199999570846558,23526100
1.409999966621399,1.4700000286102295,1.3799999952316284,1.399999976158142,30393200
1.409999966621399,1.4600000381469727,1.399999976158142,1.409999966621399,24297500
1.4199999570846558,1.4299999475479126,1.3700000047683716,1.3899999856948853,26390800
1.4049999713897705,1.4199999570846558,1.2899999618530273,1.3200000524520874,56563500
1.315000057220459,1.3200000524520874,1.2300000190734863,1.2400000095367432,42380700
1.1950000524520874,1.2100000381469727,1.090000033378601,1.1299999952316284,35083100
1.1150000095367432,1.190000057220459,1.1100000143051147,1.1299999952316284,21988300
1.159999966621399,1.2100000381469727,1.090000033378601,1.090000033378601,25533200
1.0750000476837158,1.1699999570846558,1.059999942779541,1.159999966621399,34043800
1.2799999713897705,1.2999999523162842,1.090000033378601,1.100000023841858,40817900
1.0800000429153442,1.1799999475479126,1.059999942779541,1.1399999856948853,42999000
1.1399999856948853,1.1799999475479126,1.1100000143051147,1.1799999475479126,32323000
1.1299999952316284,1.1799999475479126,1.0800000429153442,1.1200000047683716,34911700
1.1100000143051147,1.2599999904632568,1.0800000429153442,1.2400000095367432,42959900
1.1699999570846558,1.215000033378601,1.0800000429153442,1.1100000143051147,31063400
1.1100000143051147,1.159999966621399,1.0800000429153442,1.1399999856948853,22902400
1.1399999856948853,1.1799999475479126,1.100000023841858,1.149999976158142,33334500
1.1299999952316284,1.1799999475479126,1.090000033378601,1.090000033378601,29056600
1.1200000047683716,1.159999966621399,1.1050000190734863,1.1100000143051147,22499900
1.1299999952316284,1.1399999856948853,1.0800000429153442,1.100000023841858,24001200
1.0800000429153442,1.100000023841858,0.9900000095367432,1.0099999904632568,31510600
1.0149999856948853,1.100000023841858,1.0149999856948853,1.0800000429153442,17790900
1.059999942779541,1.090000033378601,1.0199999809265137,1.0399999618530273,21426700
1.0299999713897705,1.0449999570846558,1.0,1.0099999904632568,26418900
1.0299999713897705,1.1100000143051147,1.0299999713897705,1.100000023841858,29704600
1.100000023841858,1.1100000143051147,1.0299999713897705,1.059999942779541,19645900
1.0399999618530273,1.059999942779541,0.9750000238418579,0.9869999885559082,29808700
0.9800000190734863,1.0099999904632568,0.9300000071525574,0.953000009059906,14648000
0.9139999747276306,0.9300000071525574,0.8199999928474426,0.8429999947547913,27828500
0.8040000200271606,0.8199999928474426,0.7699999809265137,0.7879999876022339,31144000
0.7919999957084656,0.8169999718666077,0.7509999871253967,0.8080000281333923,15617900
0.7680000066757202,0.8899999856948853,0.7680000066757202,0.8579999804496765,20627300
0.7900000214576721,0.8360000252723694,0.7749999761581421,0.8209999799728394,7786600
0.7699999809265137,0.7950000166893005,0.7200000286102295,0.7680000066757202,12923700
0.699999988079071,0.8199999928474426,0.6809999942779541,0.7540000081062317,11109500
0.8069999814033508,0.8100000023841858,0.675000011920929,0.6840000152587891,8959500
0.6899999976158142,0.8759999871253967,0.6729999780654907,0.8460000157356262,18084800
0.8069999814033508,0.8330000042915344,0.7620000243186951,0.7720000147819519,5878300
0.7799999713897705,0.8299999833106995,0.7799999713897705,0.7979999780654907,7129900
0.8100000023841858,0.8489999771118164,0.7879999876022339,0.8149999976158142,7931700
0.8100000023841858,0.8349999785423279,0.7770000100135803,0.7919999957084656,5478000
0.765999972820282,0.8410000205039978,0.765999972820282,0.8270000219345093,13249500
0.8289999961853027,0.8500000238418579,0.8040000200271606,0.8360000252723694,5737700
0.843999981880188,0.8880000114440918,0.8309999704360962,0.8349999785423279,8595200
0.8640000224113464,0.972000002861023,0.8619999885559082,0.9419999718666077,16587900
1.0,1.0800000429153442,0.9829999804496765,1.0,13811100
0.9800000190734863,1.0399999618530273,0.9789999723434448,1.0199999809265137,6678800
1.024999976158142,1.0499999523162842,1.0099999904632568,1.0299999713897705,10129600
1.0499999523162842,1.059999942779541,0.9729999899864197,1.0199999809265137,16269100
1.0,1.0299999713897705,0.9950000047683716,0.9980000257492065,8964500
0.9700000286102295,1.0149999856948853,0.9330000281333923,0.9990000128746033,15620600
1.0199999809265137,1.059999942779541,1.0,1.0299999713897705,9397100
1.0299999713897705,1.059999942779541,1.0,1.0199999809265137,8796200
1.0,1.0099999904632568,0.9639999866485596,0.9679999947547913,7880100
0.9480000138282776,0.9980000257492065,0.9340000152587891,0.9819999933242798,9007200
0.9990000128746033,1.0299999713897705,0.9750000238418579,1.0199999809265137,7494500
1.0449999570846558,1.090000033378601,1.0099999904632568,1.059999942779541,13653900
1.0700000524520874,1.149999976158142,1.0499999523162842,1.0800000429153442,16533100
1.1399999856948853,1.149999976158142,1.0499999523162842,1.090000033378601,23019000
1.1100000143051147,1.190000057220459,1.0800000429153442,1.159999966621399,31625800
1.100000023841858,1.159999966621399,1.0700000524520874,1.090000033378601,23793500
1.0700000524520874,1.090000033378601,1.0299999713897705,1.0700000524520874,15258100
1.059999942779541,1.149999976158142,1.059999942779541,1.149999976158142,24991600
1.1100000143051147,1.149999976158142,1.090000033378601,1.149999976158142,17175900
1.1200000047683716,1.1399999856948853,1.090000033378601,1.1200000047683716,21322000
1.100000023841858,1.159999966621399,1.059999942779541,1.0800000429153442,31716600
1.1100000143051147,1.149999976158142,1.0800000429153442,1.090000033378601,49156500
1.0449999570846558,1.090000033378601,1.0299999713897705,1.0499999523162842,28677100
1.0700000524520874,1.090000033378601,1.0499999523162842,1.0700000524520874,39571600
1.0499999523162842,1.0700000524520874,0.9750000238418579,0.9819999933242798,40144800
0.9900000095367432,0.9980000257492065,0.9359999895095825,0.9359999895095825,10864600
0.9200000166893005,0.9340000152587891,0.8880000114440918,0.9210000038146973,12598700
0.9200000166893005,0.9229999780654907,0.8989999890327454,0.9160000085830688,9472200
0.9100000262260437,0.9390000104904175,0.9020000100135803,0.9200000166893005,9073300
0.9200000166893005,0.9390000104904175,0.9150000214576721,0.9319999814033508,8815800
0.9390000104904175,0.9419999718666077,0.8500000238418579,0.8600000143051147,11315100
0.8989999890327454,0.9150000214576721,0.8769999742507935,0.8970000147819519,11226200
0.8999999761581421,0.925000011920929,0.8600000143051147,0.9240000247955322,18165400
0.9300000071525574,0.9599999785423279,0.9100000262260437,0.9599999785423279,18983400
0.9470000267028809,0.949999988079071,0.8859999775886536,0.8960000276565552,21769800
0.8799999952316284,0.8889999985694885,0.8600000143051147,0.8700000047683716,8313800
0.8500000238418579,0.8700000047683716,0.8370000123977661,0.8389999866485596,9832900
0.847000002861023,0.8669999837875366,0.8100000023841858,0.8500000238418579,7700300
0.8399999737739563,0.8420000076293945,0.7929999828338623,0.8029999732971191,11022500
0.800000011920929,0.8080000281333923,0.7900000214576721,0.7950000166893005,7165200
0.8199999928474426,0.8199999928474426,0.7699999809265137,0.7760000228881836,13773300
0.7599999904632568,0.7689999938011169,0.699999988079071,0.746999979019165,8108100
0.7889999747276306,0.8019999861717224,0.7599999904632568,0.800000011920929,13494700
0.8289999961853027,0.8299999833106995,0.7910000085830688,0.8019999861717224,6509300
0.7900000214576721,0.8040000200271606,0.7820000052452087,0.7960000038146973,5912200
0.7900000214576721,0.7950000166893005,0.7400000095367432,0.7459999918937683,8937200
0.7699999809265137,0.8479999899864197,0.7599999904632568,0.8399999737739563,23759700
