XLE,XLE,XLE,XLE,XLE
Open,High,Low,Close,Volume
84.81271747359969,86.1486530557603,84.69654627201297,85.10314178466797,14104800
86.54558267605354,87.08770028431368,85.64527599902236,86.11962890625,18903400
85.76143239863354,86.1293042173,84.97729701387244,85.92601013183594,13980800
86.08899808342342,87.41644812865093,85.79618281999406,86.98698425292969,13315100
87.9825745042305,87.9825745042305,86.64536161829392,86.77225494384766,17313700
86.54776006660424,86.81130202524264,84.89821378799586,85.07390594482422,13816800
83.38530526295143,84.50778247172728,83.13152605867718,83.40482330322266,23448200
83.85381689256987,85.2300658054618,83.80501062359727,85.10317993164062,15244800
84.94701062764423,85.8547521755652,84.45897769751019,85.6985855102539,11403300
84.92748660754133,88.00209534027024,84.82011877472796,87.65071105957031,33057100
88.88055725228239,89.10505568279244,87.56286979470909,88.54869842529297,20962600
88.86103426502639,90.2275279195865,88.18754645777511,90.11039733886719,22363000
90.87171916672395,91.23286617241016,90.04206477468928,90.9498062133789,17972800
91.27191162109375,91.95515467676086,90.96932617062049,91.27191162109375,16259700
90.09087640658322,90.1884814973202,88.46084085943221,88.89031219482422,19879900
88.22659028660588,89.6614082564646,88.05089813832133,89.42715454101562,15759800
89.92494264830552,90.53010614651795,89.27098032644469,90.03231048583984,13023700
90.00303838482061,90.91077999631278,89.82734621979658,90.58867645263672,13207300
89.95423587041115,90.69604058407833,89.81757979495482,90.54962921142578,11099300
88.1387458315764,88.72438382961258,87.58238861642334,87.63118743896484,18919600
88.1289903789882,88.3437260669505,87.81664959107718,88.0509033203125,9938500
88.04114019818543,88.76343431764609,87.94353509865586,88.47061157226562,10716700
88.3046811107573,88.5584603239568,87.55310621503348,88.17778778076172,12007600
88.76343322861467,89.04649322653181,87.75808656689031,87.91425323486328,10581000
88.23635513225058,88.52917042184013,87.79712102767897,88.11922454833984,8978200
87.875204727415,88.21682627561773,87.15291810453047,87.66046905517578,9906600
87.84592123916316,88.1094557262926,87.06506562720975,87.65071105957031,8523300
88.11921744697966,88.35347114913154,87.36765007279652,87.62142181396484,9552300
85.7571464374409,87.12364012095327,85.67905938197357,87.06507110595703,12114000
86.8698574109183,86.93818171999906,85.55217005190867,85.73761749267578,11895800
86.04020627932506,86.60632626029502,85.7083400175597,85.9328384399414,9682100
86.47943590068759,87.12364295909153,86.24518217344604,86.46967315673828,15811600
87.64095074068038,87.95329150474282,85.74738066973184,85.9230728149414,13152300
86.5087118619975,87.56286474599227,86.39158872830339,87.42621612548828,12905900
87.85568941512823,88.23635450162811,87.46526158500768,88.01185607910156,10438300
90.43250082313173,92.01372270500734,89.84686281329664,91.32071685791016,25026600
91.26215564604294,91.26215564604294,90.20800275616354,90.90100860595703,13069000
90.91077142411346,91.64282080155486,90.54962438373082,91.50617218017578,11168400
91.52569521682467,92.33583169264948,91.09623128909885,92.02349090576172,10454700
92.28702866759933,92.5798439531645,91.43784870119833,91.53545379638672,9250200
91.80875173797737,92.62865092671973,90.70580000507923,92.24798583984375,11838100
92.86290737520046,92.90195090407758,92.01372737740442,92.59937286376953,9005500
92.51152160355358,93.39974511622293,92.13085651149287,92.46272277832031,14040200
93.19477006978092,93.87801318192354,92.78481675570393,93.69255828857422,11946300
92.9409860553209,93.65350991442479,92.65792608157038,93.09715270996094,11898200
93.43878637465151,94.10251144539149,93.14596364319894,94.0341796875,8958800
94.46365071017055,95.5080408600647,94.22939699390412,94.79551696777344,16770500
94.66862779340293,95.57636936137472,94.58078543849842,94.94192504882812,10777800
94.92239757427659,95.40066772373959,92.84338013344309,93.06787109375,16475300
93.19477347653584,93.38998367377214,92.51152289262544,92.94099426269531,12466400
92.8531314554092,93.63398702856468,92.72624558965745,92.84337615966797,7797800
93.04835823130111,93.39974252913049,92.88242882587927,93.24356842041016,6818200
93.21428396733373,93.37045806990626,91.4280817648136,92.25773620605469,11095000
92.8531419026766,93.01907875722601,91.84779526570715,92.24798583984375,8943300
92.20893780878208,92.20893780878208,89.48571331865763,90.02255249023438,16259000
90.35441384469775,90.96933263851874,89.99326680571578,90.37393188476562,11331200
90.1884902899818,90.19825303404461,88.67558517229358,88.84151458740234,13103300
89.58332255787664,90.06159273946918,88.61701945108601,88.69510650634766,11813900
89.20264967923617,89.32953554785803,87.96304943411253,88.08993530273438,11649900
88.27540217210165,88.56821747334034,87.80688726461119,88.23635864257812,11573800
88.08018385874045,88.23635797565412,87.43598424345097,87.5238265991211,10873100
87.7385647334904,87.76784551953041,86.84058587656769,87.08460235595703,11173000
86.8405805113514,86.8405805113514,85.1031844769264,85.1715087890625,12518100
84.52730085506188,84.69323026181058,83.74645264559014,84.53706359863281,16005800
84.30281802263569,84.70300118619741,82.03834533691406,82.03834533691406,19620600
82.90703500907367,83.1705695098465,81.26724409651106,81.3258056640625,24990700
81.31603853430245,82.40923489930695,81.10130286914165,82.12617492675781,17852400
81.99822670757953,82.88405711592016,81.44704667984077,82.60846710205078,17222700
82.84468836899973,83.46477342689398,82.30335297204978,83.30728912353516,7512100
83.3368119922848,83.38602771229776,82.72657911600561,83.23838806152344,7693200
83.1694932840394,84.13406585933912,82.81516111427747,83.22854614257812,10184900
83.23839363679207,83.69114975603138,82.52972927302093,83.21871185302734,11772700
83.4155584331793,84.54745246834386,83.24823699134812,84.31123352050781,10582500
85.00020713846118,85.92540863991431,84.72461711911723,85.29548645019531,17443500
85.79744835769111,86.3781623186559,85.45296084318554,86.09272766113281,11060400
86.48643451777924,87.17540957564276,85.48249085144678,85.69902801513672,11417600
86.3289465686778,87.21477696943404,85.80729297413929,86.55532836914062,12517900
86.0238281281715,86.68327671312919,85.71870418601173,86.64390563964844,14241900
87.76595476797223,88.77973550287325,86.53563688401188,86.99823760986328,17037900
87.39193862361105,89.35060254272868,87.39193862361105,88.82894897460938,24448100
88.67146401102369,89.86241829166723,88.54351365863661,89.78367614746094,15586500
90.3348573398833,91.34863805491449,89.96084341382513,91.11241912841797,17328900
90.80730841649103,91.86046027042208,90.69903983727023,91.7718734741211,12615300
91.77187308421277,92.80534315083315,91.44707485719513,92.48053741455078,11949800
92.24432136475208,92.51991138868279,91.52581236584851,92.00810241699219,24651000
91.72266397355928,91.83093255125898,90.27580889817658,90.3348617553711,17940100
91.02384275645466,91.3584856205826,90.10848593909972,90.74824523925781,14679600
90.87620467560848,91.25021862007875,89.76399246962576,89.87226104736328,14578400
89.56714753691973,89.7246318403329,88.31714779295356,88.93722534179688,15996700
89.2029639257784,89.51792499936035,87.64784784892875,88.09075927734375,18700900
87.87422788687385,88.74037652790362,87.74627752366028,88.28761291503906,10340900
88.82895098706557,89.2029649194654,88.1891841872449,88.74037170410156,19546300
