AAPL,AAPL,AAPL,AAPL,AAPL
Open,High,Low,Close,Volume
216.54219508236315,221.67829484771394,216.53223168732617,219.6676483154297,59894900
223.94773787040657,228.75536468744528,223.58940496515828,227.80975341796875,66781300
228.90467282845125,232.01021467188832,226.56555305015522,227.1428680419922,318679900
226.28686337720748,228.3870895913876,224.76395218553373,225.4208984375,54146000
227.59078065470555,228.28755007923567,224.6843092769655,226.31671142578125,43556100
223.88800321688734,226.23707111110926,222.9822303399746,225.3213348388672,42308700
226.24703661091274,227.44147457763864,224.36579263659118,226.4660186767578,36636700
227.40168136489095,228.4567685573237,226.24705134037433,226.73477172851562,34026000
228.97434440874213,231.92063903808594,228.58615167195362,231.92063903808594,54541900
228.45675818805825,228.5861456381701,222.70353511874544,225.16209411621094,63285000
224.84356992020335,226.31670960653594,221.98686997976517,225.7294464111328,32880600
224.09702921544027,225.75929105016726,222.28546833703504,224.62457275390625,34044200
226.8442543024003,226.9437971307691,223.09172964492672,225.74935913085938,37245100
223.4600206171574,224.64451046166124,220.3047072265611,220.6630401611328,39505400
223.26094483680066,224.93315503301397,222.2158058701156,224.72413635253906,31855700
224.18662246797504,228.68568791487783,223.78848153487698,228.47665405273438,33591100
226.72481576308653,228.43684913724616,226.11764095959848,227.97897338867188,28183500
228.23777327090536,228.34726430462075,226.28684626691359,226.49588012695312,31759200
227.64055393917852,230.65651637799863,227.54102629778745,230.228515625,39882100
232.52781469355565,236.3898456598821,231.29355345996072,232.76670837402344,64751400
230.52710945831018,231.04468960128423,228.77525301100687,230.70626831054688,34082200
232.348638945834,232.76670668063704,229.4521309302649,231.07456970214844,32993800
235.0858880500012,235.0858880500012,232.92594240501305,233.91136169433594,46431500
233.36391138062547,235.75280253487685,233.36391138062547,235.38450622558594,36254500
232.80651969699693,235.12572795126604,231.52250221800776,234.76739501953125,38846600
232.99563706556216,234.05072423456664,226.7049068825192,229.69100952148438,52287000
228.91461372105516,229.75073396519565,227.35189464165862,229.50189208984375,31109500
228.6757506783198,232.13962556438537,228.5065400142299,230.3380126953125,38802300
232.23915532682838,233.64261197661628,231.47271808946843,232.3187713623047,36087100
232.0201728307493,233.2444706163013,231.24378738741356,232.5875244140625,35417200
231.5324398883544,232.38845656475567,228.48661770128336,229.03407287597656,47070900
228.27758291037028,228.76531846185907,224.32597264925337,224.8634796142578,64370100
219.9463649274566,224.30607958110733,219.2496106921502,221.87738037109375,65276700
219.9662881225475,221.75793762543637,218.69221882853125,220.98155212402344,44944500
220.77250572284638,222.91253968716026,220.1155595539316,222.41485595703125,28111300
221.5787719009408,225.02275032206146,220.16535179621147,221.68826293945312,54561100
223.5894049928319,226.82434934768688,223.52968537330023,226.4261932373047,42137700
226.366414165256,227.8511489598711,225.60910803907555,226.15716552734375,38328800
224.20409384410638,224.90161465065876,220.7164746065314,223.4368133544922,42005600
223.75568869738083,224.79200315214243,222.5698957238352,223.4368133544922,40398300
223.2175800878685,225.84824072641777,221.97200184604,224.3236541748047,48566200
224.22402706703753,228.06039910056816,224.20409355692922,227.41270446777344,44923900
225.59914322363005,226.11730807125568,223.47668806811174,224.2041015625,47923700
224.4532188000698,228.9273417095955,224.37349996104592,227.2134246826172,44633700
226.17708394083317,229.34584301691135,225.8582238051146,227.4724884033203,36211800
227.25326410482543,229.11664435033194,225.0909420304879,228.18994140625,35169600
228.07038183414417,229.3458528412815,224.91159698015457,227.71165466308594,42108300
227.2532745036032,229.90386885981255,227.2532745036032,229.05686950683594,38168300
230.64124862727573,232.42491005721112,228.92733167542056,232.04624938964844,90152800
232.50462429580293,234.73670603206307,232.50462429580293,234.22850036621094,45986200
233.6405889619916,234.85627456038557,232.98291999142185,234.0989532470703,33498400
233.97938842310504,236.96877632211965,233.14236346053607,236.490478515625,28481400
236.4306920263062,239.93822952974793,236.32108052902282,238.7424774169922,48137100
238.96170621081686,241.90126799408412,238.05492154808562,241.79165649414062,38861000
242.01087120786053,243.24649032811607,240.39660663197557,242.15037536621094,44383900
243.1269343008096,243.67497660990782,241.27351311137042,242.18028259277344,40033900
242.05074723300527,243.7646642163996,241.22368140458013,241.98098754882812,36870600
240.97455722335047,246.36542364679892,240.89483838917155,245.8771514892578,44649200
246.0166626912396,247.33200068563022,244.47214254503118,246.8935546875,36914800
247.08288910248365,249.91283942191654,245.38889040813984,245.6180877685547,45205800
246.01666340683192,247.8601253939288,244.81093690846672,247.0828857421875,32777500
246.94338782137353,248.4081739675946,245.36897496771653,247.25228881835938,33155300
247.11276354004562,250.49077111704125,246.7739547032778,250.15196228027344,51694800
249.1953766416157,252.93211150871377,248.89643481128522,252.58334350585938,51356400
251.26802371656945,253.38051965426092,246.86366065893745,247.1725616455078,56774100
246.62449465453676,251.10857637552834,246.21594133746913,248.90638732910156,60882300
247.16257165125242,254.0979578981185,244.82089371115717,253.5897674560547,147495300
253.8687883386418,254.7456651132031,252.55345036958022,254.3670196533203,40858800
254.58623131585566,257.2965955586333,254.38692663500538,257.2866516113281,23234700
257.27667867815336,259.1799258751944,256.7186620602343,258.1037292480469,27237100
256.91793375888693,257.78488174803636,252.16481819720389,254.6858673095703,42355300
251.33775398934142,252.60326573181473,249.86299361835324,251.307861328125,35557500
251.5470385357527,252.38406352835983,248.54767617168994,249.5341796875,39480700
248.04942813526918,248.21884015778812,240.96459363401945,242.98741149902344,55740700
242.4991455078125,243.31623695542578,241.03434422978034,242.4991455078125,40244100
243.4457849039297,246.45510633108967,242.33971076643533,244.1333465576172,45045600
242.12047569552988,244.68139184839126,240.4962520142114,241.35321044921875,40856000
241.06423680804883,242.84791342439922,239.20085656180404,241.8414764404297,37628900
239.16100228470233,239.3104808095479,232.17580437363205,236.01219177246094,61710900
232.7039288898965,233.8398957390806,228.90740850459227,233.5708465576172,49630700
233.91960476413306,235.28475371553364,231.6476711610837,232.45480346679688,39435300
233.80999436776753,238.11472029161553,233.60073052224158,237.028564453125,39832000
236.51041752509497,237.1680713225123,227.22337827123218,227.4525604248047,71759100
231.2989028272768,231.4682996512766,227.67177943063626,229.16647338867188,68488300
