ETHA,ETHA,ETHA,ETHA,ETHA
Open,High,Low,Close,Volume
17.530000686645508,17.93000030517578,17.350000381469727,17.540000915527344,1916400
18.559999465942383,18.920000076293945,18.361000061035156,18.670000076293945,4302800
19.229999542236328,19.489999771118164,19.09000015258789,19.290000915527344,1745000
20.059999465942383,20.5,19.969999313354492,20.280000686645508,1893000
19.969999313354492,20.145000457763672,19.649999618530273,20.100000381469727,1926600
19.84000015258789,19.940000534057617,19.440000534057617,19.489999771118164,1379600
19.90999984741211,20.229999542236328,19.780000686645508,20.110000610351562,2304100
20.139999389648438,20.701000213623047,20.045000076293945,20.489999771118164,3803500
19.950000762939453,19.961999893188477,19.514999389648438,19.670000076293945,2351100
19.780000686645508,19.795000076293945,18.389999389648438,18.860000610351562,4937000
18.3700008392334,18.795000076293945,17.950000762939453,17.979999542236328,2626300
17.850000381469727,17.93199920654297,17.510000228881836,17.829999923706055,1688700
18.06999969482422,18.520000457763672,17.825000762939453,18.43000030517578,1837700
18.770000457763672,19.104999542236328,18.34000015258789,18.540000915527344,1418200
18.40999984741211,18.599000930786133,18.190000534057617,18.489999771118164,1294600
18.389999389648438,18.719999313354492,18.229000091552734,18.31999969482422,1567300
18.1200008392334,18.334999084472656,17.649999618530273,17.90999984741211,1956700
18.360000610351562,18.75,18.351999282836914,18.65999984741211,2496000
19.3700008392334,20.045000076293945,19.309999465942383,19.8799991607666,2987800
19.75,20.389999389648438,19.239999771118164,19.65999984741211,3204100
19.950000762939453,20.069000244140625,19.65999984741211,19.829999923706055,1306800
19.770000457763672,19.959999084472656,19.520000457763672,19.68000030517578,1194000
19.84000015258789,20.309999465942383,19.809999465942383,20.1200008392334,1709500
20.40999984741211,20.40999984741211,20.1200008392334,20.309999465942383,2312700
19.93000030517578,20.024999618530273,19.739999771118164,19.90999984741211,1855900
19.540000915527344,19.579999923706055,18.540000915527344,19.030000686645508,2897600
19.190000534057617,19.283000946044922,18.989999771118164,19.25,1384400
19.200000762939453,19.44499969482422,18.579999923706055,18.729999542236328,3052100
19.170000076293945,19.209999084472656,18.84000015258789,19.0,2319500
19.864999771118164,20.350000381469727,19.780000686645508,19.90999984741211,5048900
20.389999389648438,20.639999389648438,20.110000610351562,20.1299991607666,3656900
19.899999618530273,19.899999618530273,18.969999313354492,19.020000457763672,3829100
19.209999084472656,19.59000015258789,18.790000915527344,19.040000915527344,1911300
18.639999389648438,18.639999389648438,18.200000762939453,18.329999923706055,2615600
18.6200008392334,18.780000686645508,18.18000030517578,18.3700008392334,2699600
19.940000534057617,20.530000686645508,19.799999237060547,20.450000762939453,8425600
21.360000610351562,22.114999771118164,21.10099983215332,22.040000915527344,9167700
22.43000030517578,22.68000030517578,21.954999923706055,22.329999923706055,9624900
24.049999237060547,25.614999771118164,23.950000762939453,25.510000228881836,15062500
24.770000457763672,25.100000381469727,24.360000610351562,24.920000076293945,9781100
24.530000686645508,25.34000015258789,23.700000762939453,24.010000228881836,11598200
24.170000076293945,24.239999771118164,23.200000762939453,23.469999313354492,7479300
23.25,23.415000915527344,22.81999969482422,23.389999389648438,9162500
23.489999771118164,24.260000228881836,23.274999618530273,23.950000762939453,8631200
23.479999542236328,23.875,23.399999618530273,23.549999237060547,7397000
23.75,23.780000686645508,22.959999084472656,23.299999237060547,6457100
25.40999984741211,25.719999313354492,24.56999969482422,25.440000534057617,13119200
24.989999771118164,25.235000610351562,24.770000457763672,24.969999313354492,6218500
26.489999771118164,26.899999618530273,25.3799991607666,26.600000381469727,13881200
25.15999984741211,25.489999771118164,24.65999984741211,25.149999618530273,8504300
26.510000228881836,27.649999618530273,26.43000030517578,27.600000381469727,17811800
27.350000381469727,27.71500015258789,27.170000076293945,27.190000534057617,6115500
27.540000915527344,27.965999603271484,26.969999313354492,27.43000030517578,13241900
26.902000427246094,27.415000915527344,26.538000106811523,27.3700008392334,9824400
28.239999771118164,29.584999084472656,28.183000564575195,29.540000915527344,21396800
29.790000915527344,30.079999923706055,28.68000030517578,29.010000228881836,12787500
29.739999771118164,31.084999084472656,29.645000457763672,30.770000457763672,15926100
29.510000228881836,29.958999633789062,28.209999084472656,28.350000381469727,16348500
28.219999313354492,28.29800033569336,26.65999984741211,27.65999984741211,13634100
28.280000686645508,29.165000915527344,28.200000762939453,29.1200008392334,8785600
30.15999984741211,30.280000686645508,29.190000534057617,29.469999313354492,12647400
29.774999618530273,30.1299991607666,29.40999984741211,29.719999313354492,7806800
29.65999984741211,31.18000030517578,29.639999389648438,30.690000534057617,14013000
30.43000030517578,30.559999465942383,29.700000762939453,29.829999923706055,11421900
29.260000228881836,29.65999984741211,27.530000686645508,27.950000762939453,14824200
27.950000762939453,28.06999969482422,25.170000076293945,25.56999969482422,16999100
25.200000762939453,26.530000686645508,25.040000915527344,26.09000015258789,15179200
25.3799991607666,25.871999740600586,24.75,25.75,8473100
26.1299991607666,26.68000030517578,26.030000686645508,26.56999969482422,5345500
25.469999313354492,25.469999313354492,25.03499984741211,25.190000534057617,6135200
25.65999984741211,25.66900062561035,25.014999389648438,25.239999771118164,5886100
25.329999923706055,25.895000457763672,24.950000762939453,25.719999313354492,5466600
26.030000686645508,26.1299991607666,25.19499969482422,25.290000915527344,5166700
26.2450008392334,26.579999923706055,25.969999313354492,26.200000762939453,7317400
26.639999389648438,27.545000076293945,26.594999313354492,27.329999923706055,8417600
27.549999237060547,28.40999984741211,27.5,27.940000534057617,6091800
27.56999969482422,27.610000610351562,25.43000030517578,25.649999618530273,11334800
