KO,KO,KO,KO,KO
Open,High,Low,Close,Volume
69.79092566806901,70.26661637300977,69.1890260162666,69.65501403808594,10719700
69.47055468261235,69.83946400194917,68.53858610843082,68.5580062866211,13635600
68.3541435933371,69.70355721260965,68.32501332403254,69.54822540283203,48578500
69.4608450465295,70.09186004861456,69.10164585224668,69.63558959960938,11613000
69.1404875431729,69.72296699157023,68.53858791607311,69.24727630615234,13330600
69.6161800144609,69.82004745629838,69.22785790335834,69.36376953125,12329100
68.79099760370966,69.5190987575113,68.77157742522996,69.31523132324219,10815200
69.45113965376012,70.09186478728549,69.37347375677899,69.69384002685547,11175700
69.89772194732384,70.09187932341476,69.59677579239418,69.76181030273438,18015300
69.99479244362924,70.62581495201759,69.53851451592337,69.61618041992188,13294500
69.30552455551555,69.34435750770808,68.35414314999747,68.9366226196289,11155500
68.79099862059348,68.91720015606525,68.15026604059517,68.46092224121094,9374800
67.91727210001599,68.22792828397415,67.68428181370429,68.12113952636719,12684800
68.00465252072459,68.0531881549476,66.85910637894159,66.9950180053711,14512000
67.02414543218478,67.41246756555795,66.84940084249828,67.1600570678711,13549700
67.16975624894468,67.70369261481578,67.05325740586478,67.53865814208984,9037700
67.79107110801957,67.86873700628091,66.9755939895309,67.2280044555664,8635200
67.43186938759014,67.55807091262277,66.98530159905837,67.53865814208984,8786300
67.53866464205544,68.4123875326737,67.441585966793,68.28617858886719,7659300
68.402677443159,69.13077861756953,68.1114414173717,68.28617858886719,10358700
68.04348005535017,68.63566961923762,67.92698860450567,68.50946807861328,7937300
68.56771268036435,68.62596581146032,67.54837546903777,67.8590316772461,14674600
67.82990605446965,68.49005139587426,67.57749558100166,68.38326263427734,15087500
67.95610873398185,68.27647502417564,67.28625329205447,67.42216491699219,11981200
66.98530718063924,67.7134083456462,66.67465097983474,67.42216491699219,18603300
65.03398645142768,66.6940560265559,64.63596171210854,66.02420806884766,24655200
65.67472473156992,66.05333673427393,64.99515921922409,65.33494567871094,17568800
65.11166328687348,65.7232656310341,64.83984002280211,64.9660415649414,11138100
65.00486859442675,65.43202363140274,64.6553794562878,64.72333526611328,10761400
64.35443653876023,64.40297217296254,63.60691518708901,63.645748138427734,16525900
63.59721066500337,64.59713506151643,63.412756003135854,63.995235443115234,14177800
63.88845410786698,64.06319870083533,63.35451764525112,63.403053283691406,13383700
63.5583804281556,63.74283509789766,62.99531373593224,63.111812591552734,12163100
63.179766146361736,63.50983511554082,62.76232118693479,63.20888900756836,10984500
62.75260773477209,63.55837474923865,62.75260773477209,63.46129608154297,8780200
62.539035804842165,62.9661908687892,61.33524392337028,61.84006118774414,22899300
62.41283359334684,62.50991226866228,61.74297814240236,61.80122756958008,14856100
62.04393207140302,62.36429468381831,61.87889757177091,62.05363845825195,14719300
62.12159289163407,62.247798130219806,61.403198114277636,61.509986877441406,13980900
61.82064050024035,61.8885963097271,61.2769903210325,61.35465621948242,15021000
61.20903891111708,61.41290635423086,60.66539239614698,61.160499572753906,13177600
61.26728683210897,61.26728683210897,60.60714147732835,60.723636627197266,15910800
60.66539522569762,60.80130686077933,59.597511215329085,59.937294006347656,26284300
60.044077141643854,60.325610492859006,59.76254749374289,60.05378723144531,16062100
60.09261849711826,60.791593107319784,59.83050162954991,60.76247024536133,16254800
60.86925783035833,61.170203940266155,60.209112481126816,61.15079116821289,18904900
61.30612194068559,61.94685084248458,61.11196088186168,61.89830780029297,17292300
62.36429468381831,62.59729240796457,61.79152527687323,62.05363845825195,19562200
62.44195645509161,62.82056847346044,61.975972147613504,62.50020217895508,36805300
62.43224354327773,62.75260982330071,62.18954316264719,62.66524124145508,14473300
63.06327168449644,63.19918331733964,62.37400343032639,62.54874801635742,13263400
62.62210261850255,62.84708378963255,62.37756516784404,62.6807975769043,10648400
62.65145645666422,62.788398927337184,61.96673664049445,62.260189056396484,16500100
62.32865599499713,62.680795884682205,61.65371996263332,62.13302230834961,24874500
61.8982594388759,61.966730667612545,60.54839487400887,60.85162353515625,28137700
61.10595235779821,61.741757198457954,60.74402871824171,61.54612350463867,21040400
61.45809091931378,61.97651702493031,61.14507477719185,61.16463851928711,15581100
61.32114349246639,61.55590466149001,60.54839621794349,61.23310852050781,22348300
61.33092892440202,61.66350507972767,60.44079917506018,61.53634262084961,14949400
61.624379594048975,62.24062443478214,61.037482233333286,61.272239685058594,32819000
62.16236862170055,62.52428853152871,61.839576197097706,62.44603729248047,17542100
62.181931312038884,62.44603623573683,61.73197643376934,61.741756439208984,13429000
61.84935642719752,62.465601261824574,60.98857040612825,61.1842041015625,24559700
61.086386853201475,62.16236654106673,60.959224396176666,62.01564407348633,21902400
61.43852593672239,62.25040069457088,61.41896219502214,61.4776496887207,20946100
61.33092881477373,61.79066369675338,61.03748014445853,61.086387634277344,21300600
61.105952862230225,61.683070211489955,60.920099172436615,61.1842041015625,42458100
61.13529635726994,61.389617548299135,60.18647536375635,61.01791763305664,13010800
60.84184778092702,61.467872619628906,60.65599409159827,61.467872619628906,5019100
61.2526733585703,61.37005581088423,61.03747965879928,61.203765869140625,7943800
61.086387634277344,61.57546999527011,60.851626459183805,61.086387634277344,8542800
60.978788588343185,60.978788588343185,60.33320002457718,60.67555618286133,8972200
60.66577433351176,61.066821705912474,60.45057690833015,60.90053176879883,9256700
60.988570324635845,61.37983771498154,60.274510508946975,60.489707946777344,12991000
60.54839856603639,60.72446851678163,60.27450990298695,60.40167236328125,10403200
60.15712910820961,60.22560033876369,59.33547061015847,59.48219680786133,17924200
59.77564437139014,60.37232542500691,59.29634203493338,59.511539459228516,17799600
