TSLA,TSLA,TSLA,TSLA,TSLA
Open,High,Low,Close,Volume
230.08999633789062,235.67999267578125,226.8800048828125,227.1999969482422,78010200
234.0,244.24000549316406,232.1300048828125,243.9199981689453,102694600
241.52000427246094,243.99000549316406,235.9199981689453,238.25,99879100
242.61000061035156,250.0,241.9199981689453,250.0,86927200
254.0800018310547,257.19000244140625,249.0500030517578,254.27000427246094,88491000
252.5399932861328,257.04998779296875,252.27999877929688,257.0199890136719,65034300
260.6000061035156,261.75,251.52999877929688,254.22000122070312,67142200
257.3800048828125,260.70001220703125,254.1199951171875,260.4599914550781,70988100
259.0400085449219,264.8599853515625,255.77000427246094,261.6300048828125,80705700
262.6700134277344,263.9800109863281,248.52999877929688,258.0199890136719,87397600
247.5500030517578,251.16000366210938,241.5,249.02000427246094,93983900
244.47999572753906,249.7899932861328,237.80999755859375,240.66000366210938,80729200
246.69000244140625,250.9600067138672,244.5800018310547,250.0800018310547,86573200
249.0,249.8300018310547,240.6999969482422,240.8300018310547,68113300
243.55999755859375,246.2100067138672,240.55999755859375,244.5,56303200
243.82000732421875,247.42999267578125,239.50999450683594,241.0500030517578,66289500
241.80999755859375,242.7899932861328,232.33999633789062,238.77000427246094,83087100
220.1300048828125,223.33999633789062,214.3800048828125,217.8000030517578,142628900
220.1300048828125,221.91000366210938,213.74000549316406,219.16000366210938,86291900
220.00999450683594,224.25999450683594,217.1199951171875,219.57000732421875,62988800
221.39999389648438,222.82000732421875,218.92999267578125,221.3300018310547,49632800
221.58999633789062,222.0800018310547,217.89999389648438,220.88999938964844,50791800
220.7100067138672,222.27999877929688,219.22999572753906,220.6999969482422,49611900
218.89999389648438,220.47999572753906,215.72999572753906,218.85000610351562,47329000
217.30999755859375,218.22000122070312,215.25999450683594,217.97000122070312,43268700
217.1300048828125,218.72000122070312,212.11000061035156,213.64999389648438,80938900
244.67999267578125,262.1199951171875,242.64999389648438,260.4800109863281,204491900
256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,161611900
270.0,273.5400085449219,262.239990234375,262.510009765625,107653600
264.510009765625,264.9800109863281,255.50999450683594,259.5199890136719,80521800
258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,53993600
257.989990234375,259.75,249.25,249.85000610351562,66575300
252.0399932861328,254.0,246.6300048828125,248.97999572753906,57544800
244.55999755859375,248.89999389648438,238.8800048828125,242.83999633789062,68802400
247.33999633789062,255.27999877929688,246.2100067138672,251.44000244140625,69282500
284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,165228700
288.8900146484375,299.75,285.5199890136719,296.9100036621094,117309200
299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,204782800
346.29998779296875,358.6400146484375,336.0,350.0,210521600
342.739990234375,345.8399963378906,323.30999755859375,328.489990234375,155726000
335.8500061035156,344.6000061035156,322.5,330.239990234375,125405600
327.69000244140625,329.9800109863281,310.3699951171875,311.17999267578125,120726100
310.57000732421875,324.67999267578125,309.2200012207031,320.7200012207031,114440300
340.7300109863281,348.54998779296875,330.010009765625,338.739990234375,126085600
335.760009765625,347.3800048828125,332.75,346.0,88852500
345.0,346.6000061035156,334.29998779296875,342.0299987792969,66340700
343.80999755859375,347.989990234375,335.2799987792969,339.6400146484375,58011700
341.0899963378906,361.5299987792969,337.70001220703125,352.55999755859375,89140700
360.1400146484375,361.92999267578125,338.20001220703125,338.5899963378906,95890900
341.0,346.9599914550781,335.6600036621094,338.2300109863281,62295900
341.79998779296875,342.54998779296875,326.5899963378906,332.8900146484375,57896400
336.0799865722656,345.45001220703125,334.6499938964844,345.1600036621094,37167600
352.3800048828125,360.0,351.1499938964844,357.0899963378906,77986500
351.79998779296875,355.69000244140625,348.20001220703125,351.4200134277344,58267200
353.0,358.1000061035156,348.6000061035156,357.92999267578125,50810900
359.8699951171875,375.42999267578125,359.5,369.489990234375,81403600
377.4200134277344,389.489990234375,370.79998779296875,389.2200012207031,81455800
397.6099853515625,404.79998779296875,378.010009765625,389.7900085449219,96359200
392.67999267578125,409.7300109863281,390.8500061035156,400.989990234375,97563600
409.70001220703125,424.8800048828125,402.3800048828125,424.7699890136719,104287600
424.8399963378906,429.29998779296875,415.0,418.1000061035156,87752200
420.0,436.29998779296875,415.7099914550781,436.2300109863281,89000200
441.0899963378906,463.19000244140625,436.1499938964844,463.0199890136719,114083800
475.8999938964844,483.989990234375,457.510009765625,479.8599853515625,131223000
466.5,488.5400085449219,427.010009765625,440.1300048828125,149340800
451.8800048828125,456.3599853515625,420.0199890136719,436.1700134277344,118566100
425.510009765625,447.0799865722656,417.6400146484375,421.05999755859375,132216200
431.0,434.510009765625,415.4100036621094,430.6000061035156,72698100
435.8999938964844,462.7799987792969,435.1400146484375,462.2799987792969,59551800
465.1600036621094,465.3299865722656,451.0199890136719,454.1300048828125,76366400
449.5199890136719,450.0,426.5,431.6600036621094,82666800
419.3999938964844,427.0,415.75,417.4100036621094,64941000
423.7900085449219,427.92999267578125,402.5400085449219,403.8399963378906,76825100
390.1000061035156,392.7300109863281,373.0400085449219,379.2799987792969,109710700
381.4800109863281,411.8800048828125,379.45001220703125,410.44000244140625,95423300
423.20001220703125,426.42999267578125,401.70001220703125,411.04998779296875,85516500
405.8299865722656,414.3299865722656,390.0,394.3599853515625,75699500
392.95001220703125,402.5,387.3999938964844,394.94000244140625,73038800
391.3999938964844,399.2799987792969,377.2900085449219,394.739990234375,62287300
383.2099914550781,403.7900085449219,380.07000732421875,403.30999755859375,67580500
414.3399963378906,422.6400146484375,394.5400085449219,396.3599853515625,84565000
409.8999938964844,429.79998779296875,405.6600036621094,428.2200012207031,81375500
423.489990234375,424.0,409.1300048828125,413.82000732421875,68335200
421.5,439.739990234375,419.75,426.5,94991400
432.6400146484375,433.20001220703125,406.30999755859375,424.07000732421875,87320900
416.80999755859375,428.0,414.5899963378906,415.1099853515625,60963300
416.05999755859375,420.7300109863281,408.95001220703125,412.3800048828125,50690600
414.45001220703125,418.8800048828125,405.7799987792969,406.5799865722656,56427100
394.79998779296875,406.69000244140625,389.0,397.1499938964844,58125500
396.9100036621094,400.5899963378906,386.5,398.0899963378906,48910700
395.2099914550781,398.5899963378906,384.4800109863281,389.1000061035156,68033600
410.7799987792969,412.5,384.4100036621094,400.2799987792969,98092900
401.5299987792969,419.989990234375,401.3399963378906,404.6000061035156,83283600
386.67999267578125,389.1700134277344,374.3599853515625,383.67999267578125,93732100
382.6300048828125,394.0,381.3999938964844,392.2099914550781,57072200
387.510009765625,388.3900146484375,375.5299987792969,378.1700134277344,57223300
373.0299987792969,375.3999938964844,363.17999267578125,374.32000732421875,77918200
