SPY,SPY,SPY,SPY,SPY
Open,High,Low,Close,Volume
556.8048930733479,561.6940105129354,553.9307182522333,554.4937133789062,59044900
563.9855314630629,565.8325221847023,561.0915831115941,563.9558715820312,75315500
562.5748463140295,564.0311870143781,559.9295598052497,562.9810180664062,77503100
564.0608597882709,565.0416704048506,562.8323068106478,564.3877563476562,44116900
565.1902816302061,566.0621267861817,562.3369812050523,566.002685546875,46805700
565.8441701263542,566.5872158186719,563.6348064821314,564.7543334960938,38428600
569.054138596357,569.381095644281,564.6156981825178,566.993408203125,48336000
568.0733221030284,568.8955824862597,565.1308296402824,566.1710815429688,42100900
565.1308235636413,569.054126648712,562.8125548304923,568.4398803710938,63557400
568.083302774505,568.7371564677812,560.7518934079841,563.3475952148438,72668800
562.4460266108737,564.6157226242663,560.0286486802867,563.5853271484375,38097800
562.0992361787922,564.5166141116738,560.2465802739564,562.5549926757812,40846500
567.0429509955953,568.0435956054741,562.8323584481524,567.6671142578125,42939100
566.0027030784669,566.6566172003112,561.3760218130078,562.53515625,49964700
565.1308456591693,568.4597364990252,564.2491440127698,567.8553466796875,37398700
567.8454370265796,572.3532962392944,567.2411076686911,571.78857421875,37912200
570.4312554050144,572.2244699604879,569.1630950388911,570.7879028320312,44138100
570.7085744196827,574.9489172202314,570.5698580546086,574.2058715820312,42268000
575.8306855964628,579.8431808838789,575.3452387315617,578.9019775390625,36217200
579.1695114121999,579.4766345691163,573.1755606726477,574.4041137695312,54203600
574.4041032535349,577.4258104780474,573.5916993280316,576.9006958007812,30725400
580.477244568032,580.6853191555525,576.7620156644388,576.9502563476562,34393700
578.6542969086659,579.9620646428958,577.1781224079018,579.1694946289062,37416800
578.4363148470578,579.427042498055,575.2164499813167,578.2183837890625,36439000
575.6622837872882,579.0803062430451,574.9985131991087,577.9112548828125,34183800
575.8703137198952,576.3161532176879,569.093710573397,572.630615234375,49314600
574.6022083825129,574.681483526623,571.2238536713916,573.8690795898438,34979900
576.1180270991449,579.0406856675128,572.7198386240539,573.6708984375,47268200
577.1781092588861,577.306908686012,575.1372127964802,575.4443359375,30174700
574.4733698377371,577.5049938494554,573.0665535889564,576.3756103515625,42899700
575.900057964771,577.9112641336919,573.9186026507842,574.6319580078125,41435800
570.2232506098582,570.2926088073559,563.1692740005201,563.367431640625,60182500
566.0224889002787,570.213247218257,565.328967499654,565.7450561523438,45667500
565.8837812272758,567.1915489107644,562.624309204199,564.5264892578125,38217000
565.4478420282325,571.392207431428,565.2299109886702,571.3526000976562,39478300
583.7367263877744,586.441393442959,579.9620565705283,585.5596313476562,68182000
587.5807707664578,591.1176757282863,587.5014956231886,590.0872802734375,47233200
590.6421432207285,594.0799999422925,590.6421432207285,592.6434326171875,46444900
594.2483207362625,594.6049681604908,591.4643785924768,593.2080688476562,37586800
593.128820212274,593.7331495640901,588.8587864741817,591.3653564453125,43006100
591.830972646838,593.6737115669744,589.4433456119366,591.6526489257812,47388600
591.7814256378922,592.2668724936673,587.1547446119931,587.8482055664062,38904100
584.2518239135525,584.7274142583682,578.4461749617711,580.3186645507812,75988800
580.7843146541127,584.0240133120835,579.912529982768,582.6964721679688,37001700
579.2884042111006,585.5596668949097,578.6147166442283,584.8265380859375,49412000
584.9057757265481,585.3119474433167,579.2090919252475,585.024658203125,50032600
587.8977668419427,589.6017892447042,582.0029256803672,588.1652221679688,46750300
588.1553378190617,590.6223004102239,587.6501175222468,589.9882202148438,38226400
593.9611014741124,595.2886427548735,589.6811504715163,591.9895629882812,42441400
593.2477448833076,595.7543150327024,592.5245330000025,595.0806274414062,45621300
594.8923567552214,595.2786945887843,591.7418500301525,593.2774658203125,34000200
594.0997341515284,597.7555217105382,593.8223618450431,596.9629516601562,30177400
597.37898387929,598.7165024027554,596.8836200859798,598.0328979492188,31746000
597.7951044978051,598.5579235840632,596.7548526753004,598.3102416992188,26906600
600.0143670916415,602.273194597734,599.3406795733608,602.0255126953125,42787600
602.0255176569135,602.8379215598571,600.6781426092477,601.0347900390625,28762200
601.80756893048,603.4224597376833,601.3914802745837,602.1741333007812,31241500
602.0552810191066,602.2236877862599,598.4787687569694,599.0731811523438,34742700
599.7568097134952,600.1828153588143,596.5468617112069,597.2106323242188,37234500
600.1630383800433,602.7884304302338,599.8856056065611,601.8274536132812,28677700
600.9555775780522,601.5301560606846,598.7264404296875,598.7264404296875,31543800
600.777301060768,601.5005129311277,597.2205620137203,598.6076049804688,35904700
600.3809211894165,602.1444453296839,599.5982681600832,601.16357421875,43695200
598.5877190044964,599.5586127152293,597.2997852012516,598.686767578125,55773500
598.3796413211339,600.7871021522338,580.4574127554304,580.8438110351562,108248700
585.8766419728512,587.5014497021764,580.4177233806457,580.6654052734375,85919500
578.3155242409914,592.2124929094322,577.4605847282822,587.6398315429688,125716700
587.3813894981963,591.7651768174416,584.170527544758,591.1588134765625,57635800
592.5206168084125,597.7692934996265,591.9340935091342,597.7294921875,33160100
595.9402471287322,598.9025328618192,594.5286958920398,597.7693481445312,41219100
593.9918131022456,594.2304389583717,587.2521039804407,591.4768676757812,64969300
584.3991760465713,588.2262908200153,580.9397987194927,584.7271728515625,56578800
586.4071285917476,587.1328351597793,580.949737539049,582.5999145507812,57052700
585.8902518139051,587.619910089809,577.0530255434378,581.16845703125,50204000
584.041321201932,589.0811625401365,582.9478165136304,588.43505859375,37888500
592.7293985094617,596.139024063344,590.0752091491731,591.8247680664062,47679400
593.8725494454198,594.2006069194122,583.2957750504285,585.134765625,60393100
585.2043978050098,587.0732394943316,581.7251802921057,585.9896850585938,47304700
582.4011000274055,582.470691654181,575.1146079458084,577.0430908203125,73105000
