NIO,NIO,NIO,NIO,NIO
Open,High,Low,Close,Volume
5.449999809265137,5.480000019073486,5.010000228881836,5.019999980926514,65049700
5.25,5.400000095367432,4.96999979019165,5.400000095367432,93014300
5.340000152587891,5.539999961853027,5.210000038146973,5.28000020980835,53489100
5.199999809265137,5.559999942779541,5.050000190734863,5.320000171661377,66291800
5.760000228881836,5.960000038146973,5.610000133514404,5.940000057220459,116346100
5.699999809265137,5.840000152587891,5.570000171661377,5.650000095367432,72687400
6.0,6.199999809265137,5.699999809265137,5.78000020980835,139473600
6.010000228881836,6.659999847412109,5.989999771118164,6.519999980926514,180982100
7.699999809265137,7.710000038146973,6.659999847412109,6.679999828338623,213140800
6.900000095367432,7.079999923706055,6.440000057220459,7.03000020980835,146968900
7.239999771118164,7.380000114440918,6.820000171661377,7.210000038146973,135598100
6.860000133514404,6.989999771118164,6.670000076293945,6.699999809265137,99136000
6.71999979019165,6.800000190734863,6.400000095367432,6.769999980926514,91621900
6.809999942779541,6.929999828338623,6.559999942779541,6.789999961853027,78405000
6.260000228881836,6.400000095367432,6.110000133514404,6.239999771118164,82359200
6.079999923706055,6.449999809265137,5.980000019073486,6.289999961853027,70071100
6.230000019073486,6.349999904632568,6.130000114440918,6.21999979019165,47902300
6.059999942779541,6.300000190734863,6.03000020980835,6.239999771118164,42897900
6.059999942779541,6.179999828338623,5.760000228881836,5.789999961853027,80930100
5.610000133514404,5.809999942779541,5.550000190734863,5.619999885559082,67585800
5.659999847412109,5.690000057220459,5.480000019073486,5.510000228881836,46932600
5.360000133514404,5.360000133514404,5.050000190734863,5.150000095367432,74651600
5.460000038146973,5.489999771118164,5.179999828338623,5.21999979019165,66972500
5.090000152587891,5.269999980926514,5.050000190734863,5.139999866485596,35255300
5.159999847412109,5.349999904632568,5.150000095367432,5.230000019073486,38285800
5.21999979019165,5.289999961853027,5.150000095367432,5.190000057220459,36170900
5.150000095367432,5.159999847412109,4.960000038146973,4.980000019073486,49328700
5.059999942779541,5.349999904632568,5.010000228881836,5.260000228881836,67917100
5.380000114440918,6.03000020980835,5.369999885559082,5.809999942779541,109992400
5.900000095367432,5.909999847412109,5.590000152587891,5.599999904632568,64407100
5.440000057220459,5.440000057220459,5.300000190734863,5.349999904632568,57415100
5.300000190734863,5.309999942779541,5.050000190734863,5.099999904632568,50277400
5.139999866485596,5.190000057220459,5.0,5.099999904632568,43951800
5.130000114440918,5.300000190734863,5.119999885559082,5.139999866485596,36745800
5.28000020980835,5.380000114440918,5.21999979019165,5.28000020980835,32012100
5.0,5.179999828338623,4.860000133514404,5.0,81290900
5.230000019073486,5.349999904632568,5.130000114440918,5.309999942779541,56496100
5.159999847412109,5.199999809265137,5.010000228881836,5.090000152587891,57885300
5.179999828338623,5.230000019073486,5.0,5.059999942779541,51270600
4.880000114440918,4.880000114440918,4.579999923706055,4.579999923706055,86695700
4.659999847412109,4.690000057220459,4.559999942779541,4.610000133514404,45111300
4.570000171661377,4.650000095367432,4.429999828338623,4.429999828338623,39880900
4.440000057220459,4.510000228881836,4.360000133514404,4.489999771118164,46287400
4.610000133514404,4.75,4.550000190734863,4.670000076293945,47677800
4.75,4.75,4.480000019073486,4.630000114440918,81563500
4.409999847412109,4.840000152587891,4.309999942779541,4.650000095367432,92292300
4.579999923706055,4.809999942779541,4.5,4.699999809265137,54962300
4.599999904632568,4.920000076293945,4.590000152587891,4.840000152587891,66538400
4.789999961853027,4.860000133514404,4.639999866485596,4.670000076293945,54234900
4.599999904632568,4.610000133514404,4.309999942779541,4.309999942779541,71245200
4.440000057220459,4.449999809265137,4.28000020980835,4.380000114440918,45474500
4.380000114440918,4.53000020980835,4.360000133514404,4.480000019073486,29218200
4.489999771118164,4.610000133514404,4.360000133514404,4.400000095367432,40711200
4.409999847412109,4.829999923706055,4.400000095367432,4.639999866485596,79059800
4.670000076293945,4.739999771118164,4.519999980926514,4.599999904632568,47932700
4.650000095367432,4.769999980926514,4.599999904632568,4.610000133514404,86599500
4.699999809265137,4.710000038146973,4.559999942779541,4.610000133514404,44028300
4.940000057220459,5.360000133514404,4.929999828338623,5.179999828338623,123185700
4.949999809265137,5.019999980926514,4.75,4.769999980926514,64769700
4.78000020980835,4.800000190734863,4.570000171661377,4.670000076293945,55104400
4.599999904632568,4.650000095367432,4.489999771118164,4.590000152587891,47028900
4.53000020980835,4.550000190734863,4.449999809265137,4.510000228881836,31903300
4.46999979019165,4.570000171661377,4.400000095367432,4.420000076293945,36537700
4.400000095367432,4.619999885559082,4.389999866485596,4.539999961853027,39286600
4.550000190734863,4.570000171661377,4.28000020980835,4.320000171661377,45533900
4.400000095367432,4.510000228881836,4.369999885559082,4.400000095367432,27936400
4.480000019073486,4.610000133514404,4.420000076293945,4.539999961853027,36765600
4.5,4.550000190734863,4.46999979019165,4.480000019073486,32756000
4.510000228881836,4.679999828338623,4.510000228881836,4.619999885559082,24244400
4.630000114440918,4.829999923706055,4.610000133514404,4.690000057220459,33687400
4.639999866485596,4.650000095367432,4.480000019073486,4.480000019073486,41203600
4.429999828338623,4.46999979019165,4.329999923706055,4.380000114440918,36562600
4.429999828338623,4.559999942779541,4.349999904632568,4.360000133514404,39899700
4.420000076293945,4.730000019073486,4.360000133514404,4.550000190734863,63007700
4.519999980926514,4.659999847412109,4.460000038146973,4.630000114440918,35597900
4.760000228881836,4.909999847412109,4.670000076293945,4.710000038146973,53340700
4.630000114440918,4.679999828338623,4.449999809265137,4.510000228881836,61962000
4.400000095367432,4.409999847412109,4.260000228881836,4.320000171661377,49570100
