HUT,HUT,HUT,HUT,HUT
Open,High,Low,Close,Volume
11.359999656677246,11.850000381469727,10.800000190734863,11.020000457763672,4799400
11.869999885559082,12.0600004196167,11.380000114440918,11.430000305175781,4156300
11.229999542236328,11.446999549865723,10.960000038146973,11.170000076293945,5830200
11.350000381469727,11.760000228881836,11.130000114440918,11.569999694824219,4297500
11.800000190734863,12.550000190734863,11.489999771118164,12.5,4196900
12.479999542236328,13.130000114440918,12.4350004196167,12.529999732971191,5196100
13.100000381469727,13.449999809265137,12.5600004196167,12.630000114440918,4822200
12.960000038146973,13.319999694824219,12.640000343322754,13.079999923706055,4132300
12.510000228881836,12.630000114440918,12.010000228881836,12.260000228881836,4748000
12.270000457763672,12.369999885559082,11.300000190734863,11.555000305175781,3876100
11.4399995803833,12.159000396728516,11.359999656677246,11.979999542236328,2556400
11.8100004196167,12.020000457763672,11.444999694824219,11.729999542236328,2088900
12.130000114440918,12.279999732971191,11.699999809265137,12.020000457763672,2555300
12.0,12.475000381469727,11.539999961853027,11.720000267028809,3187900
11.699999809265137,11.829999923706055,11.170000076293945,11.335000038146973,2844300
11.289999961853027,11.420000076293945,10.9399995803833,10.970000267028809,2927000
10.829999923706055,11.201000213623047,10.70199966430664,11.119999885559082,2144600
11.119999885559082,11.829999923706055,11.109999656677246,11.720000267028809,2673200
12.170000076293945,12.670000076293945,11.833999633789062,12.180000305175781,3634800
12.199999809265137,12.48900032043457,11.425000190734863,11.770000457763672,5395300
12.029999732971191,12.928000450134277,11.708000183105469,12.899999618530273,6529600
12.8100004196167,13.364999771118164,12.539999961853027,12.670000076293945,4362600
12.850000381469727,14.84000015258789,12.850000381469727,14.470000267028809,7036300
14.350000381469727,15.520000457763672,13.789999961853027,15.329999923706055,7369900
15.010000228881836,16.040000915527344,15.010000228881836,15.65999984741211,5720400
15.449999809265137,15.8100004196167,14.619999885559082,15.109999656677246,4961100
15.9399995803833,16.200000762939453,14.930000305175781,15.305000305175781,4593300
15.4399995803833,15.746999740600586,14.539999961853027,14.899999618530273,5061700
15.510000228881836,17.489999771118164,15.40999984741211,17.209999084472656,8626500
18.010000228881836,18.3799991607666,16.81999969482422,17.18000030517578,8234800
