BRK-B,BRK-B,BRK-B,BRK-B,BRK-B
Open,High,Low,Close,Volume
469.80999755859375,474.239990234375,468.8900146484375,473.7300109863281,3782800
475.4599914550781,478.0,473.2799987792969,477.2200012207031,3832700
477.4100036621094,478.25,472.3399963378906,472.739990234375,3205100
473.9599914550781,474.20001220703125,469.3699951171875,470.1700134277344,2907300
470.04998779296875,473.04998779296875,466.7200012207031,472.6099853515625,2322600
470.44000244140625,472.1499938964844,468.0899963378906,471.7300109863281,3297600
471.54998779296875,481.19000244140625,471.20001220703125,480.489990234375,3274700
481.4700012207031,484.54998779296875,479.45001220703125,479.5899963378906,2825800
480.3999938964844,484.05999755859375,477.6300048828125,482.82000732421875,3351000
482.82000732421875,484.7200012207031,480.67999267578125,483.7699890136719,2436500
484.1300048828125,484.20001220703125,478.1400146484375,481.79998779296875,2651000
480.95001220703125,483.6400146484375,477.739990234375,478.739990234375,4085100
483.5,503.9599914550781,483.239990234375,498.4200134277344,9862400
503.1499938964844,507.0,491.8999938964844,499.82000732421875,6757500
499.1199951171875,499.8999938964844,493.04998779296875,494.1000061035156,3543500
496.45001220703125,504.95001220703125,495.6099853515625,502.4100036621094,4507700
507.4599914550781,515.3699951171875,504.3299865722656,513.8300170898438,6850300
516.219970703125,518.77001953125,506.4800109863281,510.0799865722656,5112300
507.2699890136719,508.7300109863281,493.6099853515625,495.8599853515625,6126600
496.0,500.92999267578125,492.32000732421875,498.5,4715800
496.8399963378906,499.1000061035156,491.6300048828125,497.8399963378906,3989700
496.2900085449219,498.2699890136719,490.1099853515625,495.6199951171875,3842200
490.0,500.45001220703125,490.0,497.1000061035156,6262000
496.0,499.1499938964844,491.30999755859375,496.25,5358300
497.6000061035156,498.32000732421875,488.75,495.94000244140625,3871100
496.4599914550781,507.3999938964844,494.75,504.25,5104200
506.95001220703125,515.8400268554688,502.9200134277344,514.5999755859375,5775600
514.6199951171875,524.7100219726562,513.2100219726562,523.010009765625,5343400
525.4500122070312,528.3800048828125,521.4199829101562,523.1400146484375,4857800
525.6900024414062,526.7100219726562,520.6599731445312,525.27001953125,3798000
524.0,530.6099853515625,522.6699829101562,528.72998046875,4065400
528.3099975585938,528.9600219726562,520.72998046875,521.9099731445312,8546300
523.0999755859375,527.2999877929688,521.47998046875,525.8499755859375,4858900
527.1799926757812,533.2899780273438,525.8800048828125,528.8699951171875,3964800
531.0,537.6300048828125,530.97998046875,533.2100219726562,5004400
533.25,537.3800048828125,529.3499755859375,534.52001953125,5154600
535.3499755859375,536.0,524.6799926757812,526.3099975585938,5321400
521.4000244140625,536.52001953125,519.0,532.5800170898438,7139300
531.8800048828125,536.4099731445312,527.5,532.989990234375,4130600
532.1300048828125,539.0,530.8200073242188,537.719970703125,4079000
527.6199951171875,538.7999877929688,525.1400146484375,530.1599731445312,6410900
519.0,521.0,492.9800109863281,493.5400085449219,12605000
467.4200134277344,505.8500061035156,462.1000061035156,490.3800048828125,12749700
509.0299987792969,516.0,484.19000244140625,492.6400146484375,9470100
490.0,523.9299926757812,485.55999755859375,521.4099731445312,10153700
518.2999877929688,521.4099731445312,498.6099853515625,515.8099975585938,7475900
515.0,526.5800170898438,510.7699890136719,524.1099853515625,6231000
531.0,536.52001953125,526.97998046875,529.52001953125,5512100
