PAGS,PAGS,PAGS,PAGS,PAGS
Open,High,Low,Close,Volume
9.025018692016602,9.311296234822631,8.927975112074291,9.025018692016602,5207300
9.287034015272383,9.354964885118555,9.156026397626645,9.27733039855957,3795800
9.209400384132033,9.277331260287992,8.787262939941664,8.792115211486816,6243800
8.733888896833255,8.952236489444553,8.724184353722492,8.80181884765625,4526900
8.947383624554245,9.102652602125286,8.860044593301508,8.88915729522705,4635900
8.81152364965554,8.889158145870251,8.578620161011404,8.627141952514648,4372000
8.830932410885618,8.908566904238253,8.437906747127228,8.549507141113281,9449700
8.598028496596516,8.850341077146435,8.598028496596516,8.675662994384766,7440600
8.607732682680375,8.641697658367526,8.287490161235564,8.355420112609863,5880500
8.209855126943099,8.287489616403109,8.064290690574607,8.219559669494629,5274100
8.374828989554441,8.45246348217681,8.073994636535645,8.073994636535645,3342200
7.967246961797283,8.01576874813963,7.811977985882653,7.957542419433594,4873100
8.132221081927776,8.238968279400243,7.8605003539675735,7.9866557121276855,5888400
7.976951504160971,7.991507392230407,7.763456199540306,7.957542419433594,6901500
7.947837576522171,8.297193684595275,7.860499474979958,8.112811088562012,3904500
8.083699176737417,8.12736869450719,7.83138661306232,7.841091156005859,4427300
7.773161473587799,8.025474045937179,7.7586046586720405,7.909021377563477,17711600
7.870203749044887,7.967247326167726,7.802273800344583,7.928430080413818,4016800
7.9090213092083745,8.219560213060719,7.899317691491253,8.122516632080078,3512100
8.015769341373403,8.141925625009682,7.9284303045885824,7.9866557121276855,4373100
8.054586522846149,8.195298694486967,7.93813478323701,8.083699226379395,3083000
8.093403816223145,8.12251651992488,7.957542989821441,8.093403816223145,2186500
8.151628589341831,8.253524432583554,8.13222043020956,8.171037673950195,2381100
8.180742965763699,8.182683689307122,8.054586680679336,8.122516632080078,2604900
8.035177277867577,8.161333557983905,7.938134626184651,8.044881820678711,3893300
7.9963601903035,8.258377298531183,7.9963601903035,8.083699226379395,3320400
8.103108152069378,8.132220855026642,7.952690514925212,8.044881820678711,2822800
8.093403542833672,8.153570597197533,7.996359966471067,8.025473594665527,3111200
8.103107472041364,8.248671900087782,8.064290229530581,8.112811088562012,2968500
8.151629176449019,8.209855508991668,8.035177436839879,8.083699226379395,3144300
8.054586588224861,8.073994748912506,7.947838465276228,7.9866557121276855,3992800
7.967247275070271,8.054586308825455,7.787716936187267,7.802273750305176,3082900
7.821682929992676,7.976951913882411,7.763456598295952,7.821682929992676,4658000
7.821683152856467,8.141925672622778,7.821683152856467,7.9963603019714355,4276900
7.967246961797283,8.073994151369567,7.778013013085839,7.957542419433594,3531600
8.006064798291497,8.103108378158225,7.773161317182752,7.9866557121276855,9202900
7.98665531888115,8.0060644040893,7.700378253131867,7.773160934448242,5534000
7.724639573373594,7.904169919556174,7.661561431178812,7.879908561706543,3280900
7.957542370638663,8.190445833082466,7.889612425461577,8.171037673950195,3620500
8.093403550508128,8.297194320681935,8.006064516794194,8.258377075195312,4595700
8.238968211148562,8.28749000067997,7.821683042321228,7.850795745849609,7417200
7.899317898723887,8.277785838429617,7.39469274514798,7.588779449462891,12259600
7.656709149116637,7.7052309392732345,7.336466629749725,7.4141011238098145,6227400
7.423805474135443,7.642152598693353,7.33646643921705,7.365579605102539,4417600
7.249127278999683,7.4432139684927074,7.132675542946707,7.336466312408447,4976300
7.336466710122914,7.344230067066356,7.220014967757016,7.317058086395264,3309700
7.355875221175529,7.433509714896946,7.258832104023758,7.28794527053833,4459400
7.365580035805665,7.938135142216559,7.33646686821778,7.705231189727783,6219700
7.802274002795115,8.010917051189715,7.7634567560339915,7.976952075958252,32490200
7.909020994798794,8.157452108004716,7.870203749044887,7.928430080413818,8297300
8.006064933328913,8.22441252897381,7.549962043762207,7.549962043762207,8729600
7.142380157600007,7.2685359748924885,6.987110711893916,7.122971534729004,6793800
7.239423356426852,7.404396884124371,6.933737195588168,7.375283718109131,7961800
7.4141008287654495,7.472326696993417,7.113266944885254,7.113266944885254,4424100
7.142380239286381,7.4432141285965505,7.113267073277879,7.258831977844238,6237200
7.307353765199252,7.462622749905953,7.113267071577802,7.142380237579346,5747700
7.171492888457718,7.206428687404377,6.870659001416928,6.8997721672058105,6196000
7.0356326423757976,7.239423418001592,6.8803636562754145,6.928884983062744,6355000
6.851250298904686,6.987110657952852,6.734798562577687,6.880363464355469,6542100
6.938589365766512,7.084154268241794,6.715389972034562,6.8900675773620605,5085700
6.802728874457158,6.89977198665053,6.618346729920724,6.744502544403076,6062500
6.763911106850596,6.919180547720918,6.715389782553291,6.841546058654785,5178500
6.80272886268778,6.80272886268778,6.482485898896618,6.511599063873291,5334400
6.5018947601420995,6.875511333587178,6.45337343371601,6.569825172424316,7993200
6.560121277427012,6.57952990109297,5.997270265638055,6.036087512969971,7085500
6.133130786751253,6.171948032138319,5.929340017100125,6.074904918670654,7704800
6.055495915393043,6.259286687808969,6.016678669479349,6.210765361785889,8045500
6.152539172330059,6.181651873879341,6.055495599864322,6.1331305503845215,3778000
6.133130790816356,6.191356658935547,6.045791757268535,6.191356658935547,1889600
6.142834750228251,6.327216893688982,6.074904803458231,6.278695106506348,3221500
6.210765281641944,6.288399772467533,6.123426248094124,6.191356658935547,3636600
6.191356849879256,6.191356849879256,5.997270154091514,6.006974697113037,3001000
6.0360872105455226,6.123426244035454,6.011826779232156,6.074904918670654,2360900
6.16224360561401,6.414556168125455,6.083638751633787,6.2204694747924805,4235800
6.239878062268028,6.268991228060278,6.055495912885306,6.094313621520996,5327600
6.239878305375361,6.3999995666259215,6.135071829916118,6.1525397300720215,2834900
6.239878269699084,6.395147721189222,6.191356942083113,6.375739097595215,4079500
6.23987801406835,6.288399802434604,6.074904951646836,6.084609031677246,4267800
6.006974433854009,6.191356578539577,5.92933994403652,6.171947956085205,5282700
6.162243501231491,6.448521033563257,6.074904930312255,6.424260139465332,3843500
6.453373385170735,6.482486088259775,6.317513024366383,6.443668842315674,3662900
6.657163862214812,6.744502430342782,6.511598965017461,6.715389728546143,3780900
6.3951475162545846,6.5746773944305685,6.307808481511321,6.443668842315674,4881100
6.482485931872233,6.647459454523774,6.414555984477878,6.521303176879883,3588700
6.57952933562954,6.598937957627466,6.307808164920529,6.366034030914307,4046000
6.336921693479206,6.734798698672321,6.312660798902975,6.453373432159424,4145800
6.433964729309082,6.49219059792759,6.332069343542176,6.433964729309082,3920600
6.492190870392055,6.695981650478566,6.472782246704677,6.501894950866699,5350100
6.531007484922093,6.822137274760814,6.501894320843004,6.802728652954102,8006900
6.812433086105395,7.0550411026515105,6.812433086105395,6.8900675773620605,5063900
6.860955191723338,7.025928261902182,6.793024777363986,6.851250648498535,3105700
6.928884671750885,7.511143806204748,6.928884671750885,7.423805236816406,6559500
7.462622620922786,7.588778900185546,7.200605982389859,7.2297186851501465,5373300
7.025927752057773,7.224866709087197,6.957997805365924,7.07444953918457,6323000
7.064745764761795,7.647004921760089,7.064745764761795,7.608187675476074,6263200
7.59848316525708,7.787717126022023,7.588779085013327,7.617891788482666,5356300
7.608187950544503,7.666413822075638,7.384988544972771,7.443214416503906,3055300
7.394692616803799,7.462623031545715,7.152084587674503,7.210310459136963,3591300
7.317057974001329,7.423805634232745,7.181197609994669,7.404397010803223,3082800
7.346171406863966,7.569370815765035,7.297649615161868,7.47232723236084,2729300
7.336466867950763,7.384988659682772,7.19090195549284,7.355875492095947,3368100
7.37528379806914,7.52084870424735,7.317057928145473,7.511144161224365,2315200
7.617891602787602,7.899317326805632,7.598482980035125,7.802273750305176,2464100
