BIDU,BIDU,BIDU,BIDU,BIDU
Open,High,Low,Close,Volume
85.55999755859375,85.6500015258789,84.19999694824219,84.66999816894531,1601300
87.25,87.5999984741211,86.0,87.0199966430664,3288900
87.08999633789062,87.58000183105469,86.19000244140625,86.23999786376953,1850600
87.06999969482422,89.69000244140625,87.0,88.27999877929688,3521500
92.80000305175781,94.88999938964844,91.62000274658203,94.80999755859375,7989400
92.30000305175781,95.4800033569336,91.83000183105469,94.01000213623047,5029800
101.94999694824219,104.83999633789062,100.3499984741211,102.55999755859375,14095800
104.16000366210938,107.66999816894531,103.06999969482422,105.16999816894531,8504200
109.2699966430664,111.05000305175781,104.83999633789062,105.29000091552734,10225400
105.75,110.4000015258789,104.80999755859375,110.27999877929688,6166600
116.04000091552734,116.25,112.13999938964844,115.12999725341797,11697100
108.61000061035156,111.23999786376953,107.66999816894531,109.2300033569336,6413100
111.41999816894531,111.62000274658203,109.26000213623047,110.45999908447266,5684500
113.30999755859375,114.98999786376953,109.58999633789062,114.47000122070312,9332700
106.36000061035156,107.81999969482422,104.80000305175781,106.01000213623047,8324300
102.23999786376953,105.22000122070312,102.0199966430664,104.05999755859375,5497100
104.44000244140625,105.41000366210938,102.5999984741211,104.06999969482422,3166800
102.6500015258789,105.33000183105469,101.70999908447266,103.80000305175781,3464000
100.95999908447266,101.12000274658203,98.68000030517578,99.11000061035156,6878700
96.47000122070312,97.47000122070312,93.88999938964844,93.97000122070312,7741100
94.37999725341797,96.44000244140625,94.16000366210938,95.2699966430664,4236500
93.1500015258789,93.29000091552734,91.69000244140625,92.11000061035156,4919200
95.88999938964844,95.94999694824219,94.04000091552734,94.38999938964844,4042100
92.88999938964844,93.36000061035156,91.12000274658203,91.62000274658203,4407600
90.8499984741211,92.91000366210938,90.23999786376953,91.9800033569336,3648500
91.27999877929688,91.48999786376953,89.7300033569336,89.94999694824219,3870700
89.33999633789062,89.86000061035156,88.58000183105469,89.4800033569336,2397500
90.1500015258789,90.91999816894531,89.58000183105469,89.79000091552734,2657100
91.18000030517578,94.4800033569336,91.1500015258789,93.12999725341797,4536600
94.5199966430664,94.56999969482422,93.06999969482422,93.58999633789062,2731000
91.27999877929688,93.1500015258789,91.27999877929688,92.22000122070312,2117300
92.19999694824219,92.30000305175781,90.69999694824219,91.2300033569336,2674300
91.0199966430664,91.08999633789062,89.83999633789062,90.0199966430664,2816900
90.72000122070312,91.63999938964844,90.41000366210938,90.45999908447266,1519000
92.4000015258789,92.75,91.45999908447266,91.87999725341797,2533000
89.6500015258789,91.58000183105469,89.12999725341797,90.91999816894531,3186100
93.05999755859375,94.56999969482422,92.81999969482422,93.52999877929688,3017000
90.79000091552734,90.9800033569336,88.5,88.95999908447266,4590200
89.72000122070312,89.72000122070312,87.55000305175781,88.27999877929688,3324100
86.0,86.06999969482422,84.26000213623047,84.80000305175781,4380200
85.33999633789062,85.68000030517578,84.04000091552734,84.45999908447266,2371700
83.93000030517578,84.30999755859375,83.05000305175781,84.05999755859375,2435900
84.30000305175781,84.75,83.72000122070312,84.58000183105469,2718200
84.30000305175781,85.68000030517578,84.30000305175781,85.41999816894531,2673300
84.97000122070312,86.13999938964844,84.91000366210938,86.0199966430664,2009100
86.55000305175781,87.0,85.94999694824219,86.75,2700600
82.6500015258789,82.69000244140625,80.22000122070312,81.62999725341797,8366600
79.41000366210938,80.43000030517578,78.94999694824219,80.33000183105469,5538700
80.58000183105469,83.0999984741211,80.19999694824219,82.66999816894531,4271400
83.77999877929688,84.68000030517578,82.80000305175781,83.51000213623047,3131700
84.5,85.58999633789062,84.36000061035156,84.81999969482422,3907000
84.20999908447266,85.19000244140625,83.33000183105469,85.05000305175781,2495700
85.05999755859375,86.6500015258789,85.05999755859375,86.5199966430664,2533500
86.0,87.02999877929688,85.87999725341797,85.9800033569336,2090100
85.0999984741211,85.87999725341797,84.30000305175781,84.68000030517578,2214900
86.05999755859375,87.31999969482422,85.69000244140625,85.73999786376953,2028300
86.94999694824219,87.16000366210938,86.30999755859375,86.43000030517578,1339800
90.94000244140625,95.5199966430664,90.26000213623047,93.04000091552734,8314800
89.22000122070312,89.6500015258789,88.1500015258789,89.20999908447266,3489600
88.2699966430664,89.45999908447266,87.44999694824219,89.37000274658203,2524400
88.80000305175781,90.66000366210938,88.80000305175781,90.31999969482422,2477600
89.30999755859375,90.9800033569336,89.26000213623047,90.81999969482422,2421000
89.1500015258789,90.2699966430664,88.08000183105469,88.33999633789062,2701000
88.7699966430664,90.48999786376953,88.5199966430664,90.18000030517578,2166100
89.52999877929688,90.30000305175781,87.87000274658203,88.3499984741211,1979500
86.4000015258789,86.9800033569336,85.41999816894531,85.58000183105469,3570900
84.75,86.05000305175781,84.0199966430664,85.80000305175781,3097600
86.54000091552734,88.95999908447266,86.54000091552734,88.45999908447266,2316700
88.91000366210938,89.0,87.81999969482422,88.05000305175781,1050600
87.87000274658203,88.94999694824219,87.47000122070312,88.25,1234500
87.58000183105469,87.58000183105469,85.80999755859375,86.5999984741211,1942600
85.76000213623047,85.76000213623047,83.6500015258789,84.05000305175781,3091400
84.44000244140625,85.5999984741211,84.01000213623047,84.30999755859375,2659700
83.16999816894531,83.83999633789062,82.61000061035156,82.69999694824219,2636100
83.19999694824219,84.0,82.9000015258789,83.93000030517578,1960000
84.62000274658203,85.79000091552734,83.08999633789062,83.37999725341797,3852300
82.98999786376953,83.4800033569336,81.80000305175781,82.61000061035156,2722900
81.62999725341797,81.83000183105469,80.4800033569336,81.33999633789062,2519600
79.83000183105469,80.01000213623047,77.38999938964844,77.43000030517578,4731300
77.44999694824219,78.8499984741211,77.19000244140625,78.16000366210938,2833100
80.0,80.52999877929688,79.2699966430664,79.55999755859375,3667500
81.18000030517578,81.61000061035156,79.94000244140625,81.5,2745000
80.88999938964844,81.3499984741211,80.37999725341797,80.7300033569336,2050500
81.0,83.94999694824219,80.9000015258789,82.91999816894531,3083800
83.94999694824219,84.18000030517578,82.08000183105469,83.69000244140625,2811500
82.56999969482422,83.0999984741211,81.6500015258789,83.0,2324100
82.36000061035156,82.62000274658203,81.58000183105469,82.56999969482422,1897200
83.5999984741211,86.86000061035156,82.87999725341797,86.4000015258789,3998400
87.8499984741211,90.43000030517578,87.62999725341797,88.51000213623047,7129100
90.5,91.77999877929688,87.51000213623047,91.5999984741211,4430000
92.26000213623047,93.4000015258789,89.58000183105469,89.61000061035156,5280900
90.0999984741211,96.18000030517578,89.98999786376953,94.7699966430664,6843000
94.52999877929688,94.8499984741211,90.0,90.5999984741211,7042500
86.83000183105469,90.58000183105469,86.5199966430664,87.70999908447266,5146500
90.11000061035156,94.2699966430664,89.58000183105469,92.87999725341797,6831400
90.25,90.37999725341797,88.37999725341797,88.62999725341797,4353300
89.30000305175781,89.55000305175781,88.12999725341797,88.80999755859375,2972700
90.2699966430664,91.63999938964844,88.83000183105469,89.31999969482422,5164500
92.0199966430664,94.2300033569336,91.37000274658203,93.8499984741211,5843800
90.0,90.72000122070312,88.11000061035156,89.44000244140625,6264000
90.94999694824219,94.58999633789062,90.44000244140625,93.33999633789062,6645600
97.37000274658203,97.75,95.01000213623047,96.58999633789062,10388700
99.66000366210938,100.63999938964844,96.16000366210938,97.4800033569336,11619200
92.79000091552734,93.0,89.52999877929688,90.16000366210938,15398200
90.0199966430664,90.23999786376953,87.01000213623047,88.02999877929688,8042100
90.11000061035156,92.73999786376953,88.37000274658203,89.6500015258789,9371600
92.16999816894531,95.75,90.86000061035156,91.27999877929688,11686600
90.77999877929688,91.16000366210938,86.77999877929688,87.87000274658203,7240500
