V,V,V,V,V
Open,High,Low,Close,Volume
289.80481581749547,289.98355329319395,286.1206964239406,286.46826171875,5890000
289.06003413380114,289.44732895330145,280.8973563938274,283.2508239746094,10382100
283.50900824243627,284.99854769029497,281.27469907064824,282.7840881347656,27810900
282.91321859274206,286.8654746204683,282.63517240969543,286.6172180175781,6505600
278.226136054759,279.04042499514736,270.8082274592456,270.87774658203125,13690200
272.27789247508224,272.33747163063896,266.3594640199639,267.74969482421875,11671300
268.6136148789283,271.33449725078935,268.11710172758086,269.7953186035156,9552500
271.2550754976619,276.0414696736098,270.87772064411496,273.2510681152344,6509600
273.08226248956385,273.76745313619125,271.2948270751729,273.0326232910156,5969900
275.0385425280544,277.11396421317886,272.4467276836319,275.6641540527344,5781600
274.6413347536382,275.703880336808,273.44969088217033,275.0683288574219,4741600
274.7405826314629,275.7534584846211,273.9163538831699,274.9292297363281,3036700
275.41587930863176,276.4982744528067,273.1815698988345,275.9918212890625,4259300
275.6641349501487,275.6839845684528,271.33452408375916,271.8807067871094,4339300
272.7942544040328,274.1745755478788,272.09915415646117,273.0425109863281,4370900
273.0822457182491,275.55487162741144,272.5063037704647,274.998779296875,4115800
274.84984354487824,275.73365157997677,273.4298230775677,275.5350341796875,4063900
274.1150303284023,276.8557627290138,273.44968927138683,275.9024658203125,4746300
277.13377752807224,279.4078163311429,276.0513824544536,278.7226257324219,3996600
279.04041281609307,280.6689906257886,276.8855322371199,277.34234619140625,5807000
276.67702428102746,285.5944126998421,276.40891804959966,285.51495361328125,9442700
286.5576140137232,288.9011415955459,285.6042869218469,288.36492919921875,8815800
287.89822246824036,289.01040716911393,286.0710272542221,288.59332275390625,5350900
287.58040097765996,288.4145393705439,284.333185825097,284.8495788574219,6313100
283.0621212966716,284.53181106082866,281.55273230181893,282.803955078125,5736500
284.0452572461742,284.0651068628743,281.55275148380144,281.7811584472656,5249300
280.4207659443982,281.6421691359131,279.7653648223535,281.2449645996094,4679900
282.0194786913697,283.1018737582268,278.82193268556597,279.76531982421875,4464600
280.073129525397,282.6550038132102,279.5666764449137,282.2081298828125,4306200
282.287593372751,283.7076441038228,279.38797336271216,279.9142761230469,7534800
290.3013566085198,293.7173701132974,286.3193107387893,288.1365661621094,9606800
290.0530434937924,294.27340519841783,287.6002673615022,287.82867431640625,7950200
286.47815415271805,290.62902721343073,285.18723205504597,288.71246337890625,5470700
289.5168322005978,291.105680487295,288.73236317106364,289.81475830078125,4281600
289.67572178107173,292.72432009297836,289.5466235007012,291.2447204589844,3753700
304.1838619332237,306.845165480429,300.70826944396316,305.2563171386719,10320500
305.3556068916638,305.48470516772915,302.297099025022,303.6674499511719,6237300
304.7498760172742,308.98014772932595,303.55823225613415,305.7230224609375,6240600
307.9275411678389,310.26115918109616,307.14304185598655,308.75177001953125,4674100
307.4683527271333,308.97065281518695,306.54305926559545,308.27423095703125,4616400
307.916025908982,309.36862268996236,306.27442333891247,307.9060974121094,4046400
307.7269904318916,309.70689059698776,306.26446515083353,306.6823425292969,4415800
305.9958383615891,309.13977117953834,305.10042156791917,308.0652770996094,5106300
307.90608571748635,310.8211773032255,307.13005378498025,310.57244873046875,4585600
308.423440513623,310.64211038712784,306.9410278864693,310.2640380859375,4885500
310.2739589636606,310.70179518798227,304.6626581011879,305.82672119140625,6349900
305.73716076721746,309.3387761380044,305.0904725266666,308.3239440917969,5757100
306.403776921728,310.00536204998076,306.33412562949894,308.3438720703125,5919200
310.2739455219817,312.0648094014743,308.28411700857237,311.5971984863281,14189300
312.60209284437843,312.90055499672235,309.9556170982184,310.23419189453125,7071500
309.18948185422875,314.76100757015087,307.915992864507,313.0995178222656,5204300
312.6916396219191,314.64166324682134,312.1046437987936,313.47760009765625,3853300
315.2883098535189,315.805684679194,312.1145310666751,315.0395812988281,5597500
315.487317006037,315.70619935709897,311.1793212697672,311.4181213378906,5009900
310.831147629603,311.25895350355773,307.2295322588161,308.3239440917969,5981800
308.40356489156494,309.5079052595456,307.25938908525836,307.50811767578125,5200100
307.2991829776534,310.9704192691535,307.2295316878714,309.4283142089844,4302700
310.24410180398144,311.4181237117392,306.0754389682451,306.7320556640625,5785300
305.79683179323996,311.3882754281112,305.08052267529234,310.79132080078125,4539500
311.44799758481093,313.9452119645871,309.62728731577187,312.1941833496094,4321800
313.2189232763719,313.9451912743241,311.8359778428131,312.6319274902344,3218500
314.22376567268816,315.3380951777033,312.7413531021082,313.1393127441406,4682200
313.13933250945286,315.9449982607927,312.50260311448557,314.28350830078125,6562500
314.21384531695537,317.2184756088755,313.537310871735,316.68121337890625,8843900
316.880213481188,319.984341326697,307.9856769595077,308.2045593261719,10479200
310.24411859922736,315.258495266269,309.6471942979877,313.27862548828125,8317100
311.9753085480455,318.37260070652167,310.6918604999818,316.09423828125,24387000
314.0446972104109,316.3529057063666,311.75640643265984,315.6067199707031,7984600
316.5518886187346,319.9047448715565,315.66640033897494,319.0192565917969,2684100
318.1437372169366,319.8152163291419,317.8353162105646,319.2779541015625,2856000
317.6462507735293,319.8649204053956,315.94495596583886,317.03936767578125,3489200
313.0796200406597,315.49725446719606,311.63701254426377,313.7064208984375,3478500
314.5122885209594,316.04446497068267,313.587025553461,314.4327087402344,3963800
316.1639020110013,318.05423332957747,310.8212164532197,312.80108642578125,5369500
312.5821732967334,314.3133448573242,310.4232262285368,313.3084716796875,4271300
313.4079805398152,313.78605285252087,310.4829299084755,311.447998046875,6567300
311.29875762812435,313.5870484299753,309.73673485138124,310.0849609375,4958600
309.41832403829363,312.4428717843766,308.6323332989185,311.01019287109375,5161600
309.61732136743467,310.2640095462282,304.4337963540547,306.1450500488281,6660100
303.44888191541247,305.359130859375,302.2947776062817,305.359130859375,9568400
307.179768693757,308.5826014023695,305.95601325968073,307.5180358886719,5107600
312.0846951449325,315.5768538838962,311.53750445151934,314.6714782714844,5222000
314.1441946908937,317.55674350143676,314.1441946908937,315.6365661621094,4606700
315.88529335717044,318.95957493092527,315.0993025509742,317.9945068359375,5805800
318.6809777781031,322.9292506523514,318.37255679270004,321.9841003417969,5653000
323.11829699545734,324.08336505322023,320.7404676752213,321.9144592285156,5026500
322.1134517457166,326.8392944985006,321.92441560661536,326.5408020019531,5297100
326.3517548209871,329.40614879430774,326.14283133413426,328.52069091796875,4327500
328.32170383208415,333.7837733707857,326.3816088917634,332.838623046875,6636500
332.9679973362577,336.11189994884757,331.19705101593127,332.7789611816406,5999600
