GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Open,High,Low,Close,Volume
159.1581361747725,159.7953256506922,157.90367366674798,159.1083526611328,23677300
162.9912145689688,163.07084994877528,160.631610061734,161.4281005859375,26587700
162.78213342108606,163.01111932448998,161.34845348503907,162.87173461914062,40896400
163.6283970678755,164.76339107979564,160.9601562027871,161.13937377929688,24150900
162.31419475907774,162.5033629705114,159.98447247380625,161.5774383544922,23332100
160.7610283853223,162.0951411473419,160.59177663418174,160.78094482421875,18869200
162.9215110711205,163.35958160947462,161.56748176702274,162.0155029296875,20319300
162.0951694277683,164.9724800827397,161.91596702181027,163.23016357421875,21101300
162.60293558835963,165.42049684043894,162.5431862628529,165.121826171875,20413900
166.9537289039037,168.41727581616183,163.85738331840562,166.25680541992188,28338100
165.6893137329917,166.78449014447432,164.00673142434744,165.13177490234375,17760200
163.68814431760305,165.90834901528822,163.2002902448892,165.13177490234375,15073100
167.3221169901183,167.491368768802,164.75344285896497,166.32650756835938,19047400
166.9835979885841,167.74025561009242,162.0354184047515,162.264404296875,22463100
163.2202088485495,164.00673359681912,162.15489948946927,163.6582794189453,23072700
162.7323530653501,164.11624952090352,159.0386507061608,161.1493377685547,31181800
160.16366845010265,162.35402113493024,159.695730848507,161.3683624267578,14144100
161.41814270869355,163.18036025385564,160.53205102817606,162.5232696533203,15344300
162.92152133437537,165.5001460300089,162.68256960973142,164.23573303222656,19016100
165.06205820613152,166.94375916455598,163.9071629705859,164.7335205078125,20247200
163.80760621471472,165.07203435121127,163.02108150744417,164.43484497070312,16406000
165.00232392781157,165.6395132678631,162.04536311131514,162.21461486816406,21453400
162.47349822564962,163.98682874694387,162.36398058545478,162.70248413085938,19757700
162.234547045473,163.77774463817317,161.90599412379152,163.34963989257812,20946500
162.26441234616763,165.0421710211609,162.26441234616763,164.41493225097656,16568100
164.0365946612512,165.09195335667494,161.21901831548328,162.06529235839844,18280500
162.11507183508752,162.61287650871054,160.3030555310391,162.00555419921875,22412500
162.95137630402328,164.86294438388538,162.70247397291948,164.5443572998047,19828900
168.00907708946656,168.00907708946656,163.23014919167423,165.9879913330078,32138600
166.99354716216052,169.6319209779577,166.3563578043749,168.9349822998047,42169000
179.88667593834245,181.22080390832798,173.29574742034202,173.69400024414062,68890800
172.3698540409386,176.04365502457762,170.2492012343648,170.3587188720703,44769000
169.32328866587017,171.56340969304173,168.13851111414587,170.5379180908203,31796500
169.18389067835992,169.98038120201446,167.27232253666486,168.49693298339844,21492700
168.6860840596654,169.78126041606683,168.09867819204692,168.99473571777344,18242100
173.03692280821232,176.1631358258417,172.73823693941065,175.73501586914062,33695500
176.63107376791186,180.28495857669466,176.4120384765477,179.95640563964844,25352900
179.85681428948374,180.10571661492824,177.2981062836462,177.56692504882812,22006200
177.79591845275107,179.7572700755342,177.68640081725277,179.5581512451172,17450400
179.03047096199322,181.68874596023673,178.6023510648301,180.8225555419922,25134900
179.66766908027805,180.16547375277025,177.75608576913012,178.0946044921875,23184000
177.49722409234613,178.0348616196407,173.5546197872164,174.80908203125,31007500
172.96721191394371,173.37541540242353,170.46823785970153,171.732666015625,32504600
172.6585688053745,174.6697039128958,172.1408476982141,174.5303192138672,20135300
172.95726124320882,178.08464343003916,172.7979600977284,177.3379364013672,23434900
176.56135042889815,176.89985394642653,173.01698373526585,175.2073211669922,18997100
173.13647259575043,173.3654737011491,162.98125951876034,166.89401245117188,59734400
