JD,JD,JD,JD,JD
Open,High,Low,Close,Volume
26.246232218829775,26.357938756459102,25.906254752763747,26.14909553527832,10352800
27.615854868601417,27.96554619823066,27.363300225283428,27.916976928710938,21141900
28.033540052142648,28.072393613269107,27.572142202624295,27.7324161529541,10083000
28.276380691946166,29.111751705715342,28.25695298511411,28.907766342163086,16394900
31.559588836289258,32.93892266346783,31.112758992912383,32.9292106628418,45862000
31.582900451199844,32.414386304385154,31.404171474874435,32.258968353271484,25649800
35.998720127929595,37.086645832151426,35.87244187930586,36.9020881652832,53720600
38.37855434803277,38.796240776353,37.69860314421487,38.757389068603516,44906900
41.166371885229815,41.45778009303685,38.66996885277076,38.85452651977539,49687700
38.65053916148356,41.768613865380374,38.51454891851578,41.700618743896484,36322900
45.30437524132595,45.30437524132595,42.47770871549791,43.517066955566406,58760400
41.7686162792468,43.54621265765709,41.584058611047,43.32279586791992,30201800
44.954684587813176,45.65406722898189,44.449575314242026,45.62492752075195,30001100
46.188315335086024,46.45058382055187,43.206230871188886,45.73177719116211,34782900
41.846325701957106,43.22565957726427,41.31207301247981,42.29315185546875,33635800
40.20472002374021,42.29315227001354,40.107585191313866,41.613197326660156,26457000
41.76861399218914,42.77883252223995,40.7098280474247,41.98231506347656,15866800
40.87496268123746,42.982818914944524,40.709829020715645,42.57484817504883,14606700
42.516565604420926,44.05131745762544,42.11247817749623,42.87596893310547,22318300
40.37470898936072,40.797253303973335,38.869096810900615,39.009944915771484,25545900
39.31106752910754,40.51555574972208,39.24307240562718,39.37906265258789,17310300
38.29113398003048,38.60197360018095,37.52375989994869,37.737457275390625,17418500
39.66075916682804,39.80646141595765,38.427127522491055,38.83509826660156,15214100
38.32998865103677,38.76710280553797,38.2328538191282,38.5436897277832,9582600
38.46597763766709,39.855027180098155,38.310559688431404,39.19449996948242,11353200
39.61704645450772,40.00073534854528,38.626255583598684,38.85452651977539,11646800
38.49512065199599,38.67967830684704,37.688887501184034,38.203712463378906,8541800
39.09250681749773,39.76760387375704,38.582543414634294,38.757389068603516,10675400
39.30135058905979,40.68068813377354,39.17507605253477,40.44755935668945,11411900
41.273222216896144,41.380069051700744,39.83560148214741,39.96187973022461,14259100
38.835095764243164,39.26249418845593,38.330957343971285,38.883663177490234,7626100
39.126504434077084,39.56361856963009,38.6505385907186,39.45676803588867,8319600
39.60247682565022,39.99587772315909,39.17507836546104,39.281925201416016,6746100
39.12165298002065,39.74817896108382,38.640825545079494,38.718536376953125,7358700
39.58304578570759,40.00073220945338,38.79624035146306,38.883663177490234,7419900
36.974936374601135,37.91230194745529,35.87244084752859,37.5626106262207,15031800
38.99537304750424,40.311569635527555,38.92252007213191,40.04930114746094,16561700
38.65053908591949,39.04879781331346,37.047788470175654,37.251773834228516,13967600
37.96087100948817,38.16485636732514,37.50918702830283,37.902587890625,12044300
35.853013363418896,35.862725364421976,34.97878505488922,35.06620788574219,20709400
35.48875272843662,35.765591079461466,34.5416751342612,34.66794967651367,18818600
34.415395559714675,34.415395559714675,32.21040083767801,32.39495849609375,30435000
33.2691887991769,34.18712670464468,32.696084376753845,33.997711181640625,17140200
34.41539502094691,34.67766350329902,34.05599171051898,34.318260192871094,10637100
33.609161856786734,34.18226623535156,33.51202702874097,34.18226623535156,8723000
34.46396220384249,34.473677909858615,33.88114582838407,34.17255401611328,8294500
