JNJ,JNJ,JNJ,JNJ,JNJ
Open,High,Low,Close,Volume
161.41223051206165,163.07837241557064,160.5501001488143,160.94725036621094,4722800
161.02475705600946,161.16037257839136,159.27143680914958,159.65892028808594,4956100
159.1551925431143,159.70733615380513,158.42867767890135,159.0195770263672,11839000
159.25205174305594,159.34892630365795,157.62466554801796,158.1090087890625,4671600
157.6924818376134,158.37057426832786,156.4913199383724,157.68280029296875,6041600
157.89590190366212,158.2058886832529,155.338570095971,155.57106018066406,5420000
155.2223353691693,156.48161603728326,155.00922314943045,156.33631896972656,6122000
156.92721084640903,158.31242542752722,156.28787421774706,156.3459930419922,7553800
156.51068936499874,157.10157395711255,155.64854416565876,156.98533630371094,6010000
157.34373587493758,157.65372263951514,156.13287779014868,156.9175262451172,4408000
156.45254932130229,157.04344867009158,155.61947835056628,156.12319946289062,4684400
155.74542844988045,156.384765145453,155.20296632551018,155.4741973876953,4791200
154.63143009925884,155.4741826209344,153.80804066519715,155.270751953125,5331100
155.2320013145916,155.8229006315838,154.23425546833988,154.5345458984375,4266000
154.495810340033,155.2320067356913,153.97271136915845,154.68954467773438,4766300
154.91233933018452,156.1716347040591,154.51517432794256,155.61947631835938,6047200
156.3072455930612,156.3363050039766,154.98983143462758,155.48385620117188,4793900
157.1015850376939,157.56656524606282,156.15227631233012,156.40414428710938,5253500
156.3460000147395,157.06283336802537,155.86165674978554,156.5397491455078,5964000
154.9898507205105,161.52848504778206,154.02116415350733,158.9614715576172,10548000
158.86458744146293,159.82359240631837,157.54717319827,159.1358184814453,5982100
159.1164393262834,159.83327265814654,158.506176881748,159.3198699951172,4798000
159.72671491273323,160.11418359674732,158.79676937772342,159.9495086669922,5908000
159.93015428239812,160.07545135156434,157.22751054803751,157.73123168945312,6082700
157.23719669566833,158.60303340037385,156.83033536637095,158.33180236816406,5680300
157.72153573923214,160.8019515720665,157.33405228854141,160.6663360595703,7441600
159.8332767277966,160.32730153471033,158.2252535478264,158.544921875,5386300
158.55457994282227,158.78706999570232,155.58072043559355,155.84226989746094,6400400
156.08446529397244,156.89815843165903,155.95853131516972,156.5397491455078,4842500
156.40412160345724,157.09188070948926,155.047951697213,155.07701110839844,5216900
154.45706955093502,156.22976773536524,154.0502229680962,155.58074951171875,5820500
154.98016676975598,155.8326008844147,154.46676407969414,154.85423278808594,8613900
155.55167438584564,156.01663975055715,154.87359681626998,155.1157684326172,5256400
154.69923190581522,155.26107185248225,153.12028295359576,153.2849578857422,4644000
152.73279551730027,153.6239853051206,151.45413704989986,153.39151000976562,6547100
154.89298511557755,155.81324923227646,152.42284605155163,152.93624877929688,8926600
153.50773955591475,153.77897057350287,151.60910765181617,151.8222198486328,7522800
152.08378907519,152.16128577327757,150.5435810007818,150.60169982910156,8926100
150.74699009652502,152.6456221615239,150.05923095113576,150.18515014648438,7146800
149.691138115451,150.18516295699607,147.5987715259936,147.86032104492188,7181400
147.724694971102,148.70306303959268,146.67851175103127,148.4415283203125,7161900
148.3834027095756,148.7805677534201,146.0391829679081,147.1144256591797,7716400
146.17480004336926,149.5942625124733,146.17480004336926,149.177734375,11328500
147.81187023516128,150.46607657973948,147.56001706504134,149.92361450195312,7510600
149.12927934316934,149.1680350793827,147.288780959565,148.2090301513672,8233700
148.2381008368418,148.45121305927506,147.05630206916038,148.3155975341797,9061300
148.80960211732764,151.17319933131003,148.0249684873214,150.6307373046875,10141100
151.01821793189148,152.2000166325871,149.28427561781214,150.3110809326172,8266000
150.31107819945922,152.12251717354584,150.282018787756,150.9019775390625,12256200
151.50737944246438,151.59525717507208,149.55446147563578,150.8824462890625,5683500
150.98988218204997,152.94280046975848,150.96058959970108,151.7417449951172,4140400
151.2437305693636,152.00536738055396,150.54067891294454,151.36090087890625,5687800
151.10704259636768,151.35115736631334,150.306338999146,151.15586853027344,6946500
151.1558781194377,151.1558781194377,148.72448949268428,148.7733154296875,8674400
147.72848408863038,147.99213220574455,146.2247436975736,146.92779541015625,10333100
146.46887934749697,146.83993860971114,145.44359421214753,146.00018310546875,7898100
145.8732234959598,146.51769007407336,144.8870051746042,145.79510498046875,8389600
145.77557799857644,147.3379185775207,144.9455966719243,146.0782928466797,8410300
146.4004983361191,147.27932042159756,144.83817279457298,145.71697998046875,9398700
145.00417223410255,145.00417223410255,142.92430964227208,143.18795776367188,13446700
143.73478625441516,144.29137513083234,142.57279746294867,142.79739379882812,6176300
142.23103413427467,143.47112644659353,141.6256193688481,143.16842651367188,8324900
143.27583019797297,143.78359306863834,140.14140503579463,140.46363830566406,8732400
140.45387189379161,143.2074936786876,140.3269423438407,142.96337890625,10343000
142.25055280306566,143.28561195210492,141.26433448793145,141.3424530029297,9336100
140.74681165087918,141.80138924864332,139.99493398496173,140.1999969482422,9516700
139.68247589971185,142.04550511117398,139.38953519259533,141.0690460205078,17702800
141.22528648930432,141.9088048894955,140.0730569864818,141.8502197265625,8720800
141.5865687509638,142.41656494140625,140.93234294537487,142.41656494140625,3164100
142.084549040839,142.92430440823344,141.67443803344858,142.1529083251953,4656300
141.45962085477984,143.14890577539174,141.27409124734757,141.63539123535156,5588300
141.43032578784886,141.46939249377033,139.58481877200197,139.96563720703125,6268700
140.37575968581945,141.2643410733167,139.9363560556058,141.21551513671875,5811400
141.81114579641152,142.33844203512305,140.395283132494,140.629638671875,6051300
140.6784687147639,141.1666982613835,140.23905020313964,140.79563903808594,5878800
140.13162889639017,141.4108027309781,139.56528087562768,140.27810668945312,7910500
140.37575769719055,143.71524609892302,140.20976143477625,142.78761291503906,8422000
142.06503683007398,142.16267379826706,138.11037457846714,138.92083740234375,11175600
137.6807302951522,140.28787425108914,137.3682562377179,138.7157745361328,8821500
139.61411661156524,141.6549274347408,138.9598908087689,141.0690460205078,10376400
141.0983382309039,141.40103816428257,139.49694592239808,141.3424530029297,8681700
141.8892587283954,142.61184377171045,140.86397377085905,141.55726623535156,7434600
140.92257073154812,144.58429199973034,140.66868185455502,144.29135131835938,8964000
143.96913844567348,144.88701242414055,143.15867556893306,143.56878662109375,10773100
144.08630723838397,145.3557070908205,143.58831844455335,144.66241455078125,11111700
140.61011247934044,142.04550856953375,138.76460534903245,141.8502197265625,16834700
142.01620985684826,144.4280649573552,141.40103587344308,143.18795776367188,10506400
143.35396488647487,144.15466853825302,142.93409460536012,143.36373901367188,9887300
144.9553368776995,149.8376319217418,144.5159333036521,149.2908172607422,15152300
149.06626102671055,149.36896098661137,146.7618167808915,146.83993530273438,10320600
146.9571043773899,148.30462279336854,146.46887479474074,147.591796875,7156400
148.33390885581858,150.5114085268304,147.79685335859583,149.27130126953125,8911000
149.02718955239337,149.57400428823024,148.48037481655652,148.56825256347656,8457800
148.42179003776968,148.88072702787952,147.23050868892088,148.2948455810547,6687500
