UPST,UPST,UPST,UPST,UPST
Open,High,Low,Close,Volume
37.380001068115234,40.380001068115234,36.89500045776367,38.310001373291016,11575700
40.34000015258789,41.4900016784668,38.369998931884766,40.0,10618400
39.9900016784668,40.79999923706055,39.02799987792969,39.7400016784668,7024100
40.0,40.34000015258789,38.11000061035156,38.529998779296875,5796000
38.439998626708984,38.63999938964844,36.13999938964844,37.63999938964844,6558400
38.75,41.70000076293945,38.611000061035156,39.54999923706055,11813900
40.119998931884766,41.2400016784668,38.2140007019043,40.88999938964844,8443400
41.709999084472656,42.54999923706055,39.720001220703125,40.849998474121094,6802300
40.31999969482422,41.70000076293945,39.599998474121094,40.0099983215332,4445100
40.34000015258789,40.34000015258789,37.650001525878906,37.779998779296875,5213200
37.619998931884766,39.380001068115234,37.40999984741211,38.939998626708984,4641600
38.470001220703125,39.290000915527344,37.459999084472656,38.939998626708984,3760700
39.900001525878906,41.5,37.970001220703125,41.29999923706055,7917800
41.279998779296875,42.41999816894531,40.27000045776367,41.02000045776367,6121000
40.689998626708984,43.194000244140625,40.58000183105469,42.88999938964844,6913300
42.970001220703125,43.63999938964844,42.029998779296875,43.029998779296875,5151100
42.459999084472656,44.5099983215332,41.709999084472656,43.18000030517578,5360700
42.90999984741211,47.349998474121094,42.70000076293945,47.02000045776367,8278300
48.689998626708984,56.08000183105469,48.540000915527344,54.06999969482422,20097200
54.0,57.400001525878906,52.88999938964844,52.90999984741211,12481400
52.88999938964844,54.970001220703125,50.4739990234375,54.380001068115234,7322500
54.099998474121094,54.36000061035156,49.689998626708984,52.04999923706055,6905000
52.709999084472656,54.29999923706055,51.65999984741211,53.130001068115234,6312000
53.810001373291016,54.43000030517578,51.599998474121094,52.540000915527344,5419700
52.2400016784668,53.92499923706055,51.470001220703125,51.959999084472656,4576200
51.5,52.79999923706055,49.0099983215332,49.75,5246700
51.400001525878906,54.470001220703125,50.310001373291016,51.09000015258789,7154200
51.2599983215332,52.5,50.540000915527344,50.58000183105469,4281500
51.70000076293945,53.599998474121094,50.79999923706055,51.97999954223633,5378900
51.189998626708984,51.63999938964844,48.08000183105469,50.41999816894531,6514600
49.9900016784668,53.150001525878906,49.900001525878906,51.130001068115234,4680500
50.69499969482422,51.060001373291016,48.650001525878906,48.68000030517578,3463900
49.099998474121094,50.0,47.619998931884766,48.47999954223633,3719200
48.65999984741211,49.599998474121094,47.08000183105469,47.2400016784668,3009200
48.2599983215332,52.0,48.029998779296875,50.599998474121094,6668200
53.689998626708984,54.47999954223633,51.90999984741211,53.97999954223633,7246200
54.25,57.27000045776367,53.40999984741211,55.470001220703125,12705500
65.2699966430664,82.25,64.58999633789062,81.0,39961500
79.38999938964844,86.06999969482422,76.62999725341797,77.4800033569336,16474200
71.0999984741211,72.3499984741211,65.1500015258789,69.43000030517578,19378400
70.20999908447266,72.77899932861328,67.38400268554688,67.80000305175781,11270200
68.2300033569336,68.43000030517578,65.70999908447266,67.38500213623047,5727600
67.68000030517578,69.6500015258789,64.5999984741211,68.36000061035156,6473200
68.55999755859375,73.94000244140625,67.5,68.2699966430664,7773300
67.5199966430664,71.5,67.18000030517578,71.11000061035156,5299900
71.38999938964844,73.94000244140625,68.5999984741211,70.4000015258789,5278500
71.33499908447266,75.19000244140625,69.88200378417969,71.43000030517578,6850400
71.91999816894531,74.83999633789062,70.9000015258789,74.05999755859375,5652500
77.19000244140625,80.87000274658203,73.94000244140625,79.5199966430664,9615000
78.1500015258789,80.7699966430664,76.36000061035156,78.51000213623047,5729400
80.0,81.97000122070312,76.41000366210938,78.43000030517578,5326900
78.7699966430664,79.38899993896484,76.86000061035156,78.79000091552734,2318400
74.66000366210938,75.5,66.87999725341797,67.38999938964844,12619000
68.5,74.2300033569336,67.62999725341797,72.77999877929688,9166600
72.9000015258789,75.25,72.11000061035156,74.62999725341797,5898900
74.5199966430664,75.05000305175781,72.44000244140625,73.41000366210938,3572000
74.5,77.94999694824219,74.0,77.16000366210938,4714900
77.65499877929688,79.19999694824219,74.3499984741211,76.38999938964844,5170600
76.72000122070312,80.97000122070312,73.44000244140625,74.0199966430664,6343600
76.04000091552734,78.69000244140625,75.02999877929688,78.4000015258789,4514700
78.87999725341797,85.29000091552734,76.66999816894531,77.08000183105469,9145100
80.20999908447266,88.94999694824219,80.16999816894531,84.45999908447266,13372800
85.33000183105469,85.4800033569336,81.22000122070312,83.91000366210938,5700900
83.91000366210938,84.75,81.11000061035156,82.98999786376953,3718300
83.69000244140625,86.98999786376953,72.19999694824219,73.31999969482422,8769600
75.54499816894531,76.75,66.94999694824219,67.2300033569336,7778200
66.0,71.37000274658203,65.55000305175781,68.4000015258789,6642100
68.82499694824219,69.44999694824219,66.69999694824219,68.0,3568400
68.30999755859375,69.4800033569336,67.48999786376953,68.51000213623047,2111700
67.91000366210938,72.84500122070312,67.30599975585938,72.02999877929688,4009400
71.08999633789062,71.62000274658203,66.9469985961914,67.9800033569336,3995400
66.13999938964844,66.70999908447266,63.0,63.31999969482422,5127200
64.20999908447266,64.81999969482422,61.209999084472656,61.56999969482422,3642700
62.47999954223633,63.45000076293945,60.58000183105469,60.79999923706055,3745300
61.099998474121094,64.9000015258789,60.619998931884766,64.08000183105469,4215600
65.08999633789062,65.7699966430664,63.099998474121094,63.52000045776367,4788900
63.349998474121094,63.880001068115234,58.91999816894531,60.25,5195600
58.650001525878906,59.939998626708984,57.54999923706055,59.220001220703125,4119500
57.88999938964844,58.025001525878906,55.779998779296875,57.7400016784668,5175200
55.38999938964844,57.79999923706055,55.20000076293945,57.06999969482422,5210300
58.68000030517578,59.29999923706055,56.65999984741211,57.0,3730400
62.08000183105469,64.18900299072266,60.88999938964844,62.66999816894531,6298000
62.16999816894531,64.54000091552734,61.83000183105469,64.5,3853500
65.80000305175781,66.76200103759766,62.880001068115234,62.959999084472656,4407800
64.0,65.0999984741211,62.029998779296875,64.01000213623047,3152300
64.44999694824219,65.83000183105469,63.45000076293945,65.55000305175781,4025000
64.22000122070312,70.44999694824219,64.06999969482422,69.30999755859375,4517600
69.30999755859375,69.94000244140625,66.76000213623047,67.44000244140625,3176800
64.66999816894531,67.97000122070312,62.91299819946289,65.01000213623047,3609800
65.29000091552734,66.80000305175781,63.279998779296875,66.5199966430664,2066700
65.12999725341797,66.55999755859375,62.810001373291016,66.06999969482422,3815100
67.44000244140625,69.0999984741211,66.61100006103516,67.31999969482422,2974700
68.1500015258789,68.69999694824219,63.88999938964844,64.74500274658203,2986800
61.29999923706055,63.46699905395508,59.94499969482422,63.16999816894531,3951800
63.16999816894531,65.98999786376953,63.119998931884766,63.29999923706055,2457300
63.59000015258789,65.2699966430664,63.0,64.9800033569336,2933200
65.47000122070312,66.12000274658203,63.45000076293945,65.13999938964844,2854000
67.73999786376953,72.4000015258789,67.37999725341797,68.8499984741211,6127300
71.12999725341797,73.80000305175781,69.83000183105469,70.94000244140625,7438800
69.5,70.5,66.76000213623047,67.33999633789062,13487900
