COIN,COIN,COIN,COIN,COIN
Open,High,Low,Close,Volume
161.5399932861328,169.10000610351562,160.8000030517578,162.63999938964844,5027400
172.0,175.38999938964844,167.0,168.24000549316406,9299100
168.99000549316406,173.38999938964844,165.39999389648438,170.08999633789062,8152300
171.3000030517578,173.57000732421875,168.6999969482422,170.22000122070312,4933200
170.3800048828125,172.25,163.80999755859375,171.67999267578125,6035500
170.3000030517578,173.94000244140625,166.8800048828125,167.0800018310547,5359900
170.61000061035156,181.49000549316406,170.25999450683594,179.92999267578125,12455200
183.07000732421875,192.4499969482422,179.5,191.22999572753906,10563400
184.19000244140625,185.41000366210938,177.0,178.1699981689453,11710000
178.72000122070312,178.89999389648438,160.0,165.00999450683594,15210500
163.02999877929688,169.2899932861328,161.38999938964844,164.47000122070312,7881100
162.8300018310547,166.41000366210938,161.41000366210938,163.10000610351562,4298600
167.9600067138672,171.24000549316406,164.0,170.91000366210938,6852400
172.0,176.14999389648438,166.88999938964844,168.9199981689453,6797500
166.36000061035156,170.0500030517578,165.02000427246094,167.69000244140625,5696100
167.69000244140625,172.49000549316406,165.77999877929688,166.97000122070312,5725000
166.0500030517578,167.30999755859375,161.8699951171875,164.27000427246094,5379900
165.5399932861328,179.17999267578125,165.22000122070312,176.3800048828125,10767100
181.19000244140625,197.69000244140625,178.27000427246094,196.35000610351562,18131400
195.67999267578125,204.89999389648438,188.30999755859375,196.33999633789062,17324800
203.52999877929688,212.4199981689453,197.60000610351562,210.47999572753906,13970000
209.1999969482422,209.4499969482422,201.1300048828125,204.1999969482422,8908000
208.0500030517578,220.25999450683594,207.13999938964844,220.2100067138672,13569600
215.39999389648438,216.86000061035156,208.1300048828125,213.72000122070312,12686400
209.4499969482422,215.9499969482422,207.3000030517578,210.72000122070312,7485100
206.3000030517578,209.6999969482422,194.60000610351562,198.92999267578125,10350100
206.8699951171875,210.5500030517578,200.8000030517578,209.16000366210938,9925400
208.3000030517578,213.6699981689453,203.39999389648438,205.0399932861328,9261300
213.35000610351562,218.0,210.5,216.10000610351562,10458700
220.91000366210938,223.89999389648438,216.11000061035156,219.66000366210938,11542200
213.10000610351562,220.4600067138672,209.47000122070312,211.74000549316406,9515900
203.72999572753906,206.0,178.82000732421875,179.25,18892000
180.0,190.94000244140625,179.5399932861328,182.8800048828125,14443400
180.08999633789062,186.9499969482422,176.3800048828125,186.27000427246094,11348800
185.58999633789062,197.25,185.50999450683594,193.9600067138672,9950800
221.47999572753906,257.67999267578125,221.11000061035156,254.30999755859375,35456000
245.6300048828125,259.69000244140625,242.33999633789062,255.5800018310547,16655300
257.6700134277344,273.5,257.1499938964844,270.739990234375,17431700
300.30999755859375,334.8599853515625,296.0,324.239990234375,42437500
310.04998779296875,327.0,306.1000061035156,319.1300048828125,24819600
325.010009765625,332.3500061035156,282.6600036621094,284.7200012207031,27997400
290.80999755859375,292.57000732421875,274.29998779296875,278.8399963378906,17375300
282.510009765625,306.4599914550781,276.0199890136719,305.8500061035156,18020600
301.8299865722656,329.5899963378906,288.5,325.4100036621094,25607400
322.0799865722656,327.239990234375,315.5,324.57000732421875,13447900
332.25,341.75,303.79998779296875,320.010009765625,22875200
329.95001220703125,330.5,288.54998779296875,295.2300109863281,25187400
294.8900146484375,311.3699951171875,290.79998779296875,304.6400146484375,12187200
309.0,317.4599914550781,291.20001220703125,312.2200012207031,14645900
298.260009765625,309.20001220703125,289.1300048828125,293.2900085449219,13215700
302.7799987792969,314.2900085449219,295.3599853515625,310.9800109863281,13290800
311.95001220703125,316.29998779296875,295.80999755859375,296.20001220703125,9550200
302.0299987792969,311.4700012207031,299.5,302.3999938964844,11221100
296.7799987792969,314.42999267578125,296.6499938964844,309.3500061035156,10069300
312.0,332.0,309.1199951171875,330.94000244140625,15798000
343.3599853515625,349.489990234375,315.1700134277344,320.57000732421875,19769900
328.55999755859375,349.75,325.5,343.6199951171875,16759200
339.9100036621094,340.1600036621094,309.67999267578125,310.5199890136719,16974800
318.0299987792969,318.739990234375,298.5199890136719,302.4200134277344,11930600
311.8500061035156,320.8999938964844,308.82000732421875,313.80999755859375,10253400
317.760009765625,323.5,307.75,312.9599914550781,8324400
316.0,317.17999267578125,305.25,310.5799865722656,5832600
316.8999938964844,326.2300109863281,314.7699890136719,315.30999755859375,11461400
319.8299865722656,323.07000732421875,303.5,311.6400146484375,7440600
308.0,312.1400146484375,275.80999755859375,279.8599853515625,12615200
290.6400146484375,295.4800109863281,268.8800048828125,273.9200134277344,11708600
266.1300048828125,281.739990234375,261.8699951171875,278.7099914550781,10009800
274.5199890136719,275.3299865722656,263.07000732421875,268.1499938964844,6853500
273.2200012207031,284.0,271.8599853515625,279.6199951171875,4805100
275.5799865722656,279.239990234375,271.3900146484375,274.4100036621094,4410400
274.20001220703125,274.25,263.2099914550781,265.7099914550781,5554000
259.9800109863281,260.5,247.60000610351562,255.55999755859375,7727100
262.9700012207031,263.6600036621094,246.3699951171875,248.3000030517578,5414900
256.4800109863281,262.30999755859375,251.0,257.2099914550781,6289500
259.8900146484375,271.5899963378906,258.5899963378906,270.6499938964844,5990800
279.07000732421875,293.6000061035156,271.75,287.760009765625,10835000
286.739990234375,287.5799865722656,260.239990234375,264.3299865722656,11614700
263.8800048828125,267.0,252.99000549316406,260.010009765625,5951100
257.7699890136719,261.8699951171875,248.0500030517578,258.7799987792969,5579200
246.97999572753906,251.80999755859375,240.77000427246094,251.1999969482422,7019500
261.7300109863281,263.0,251.0,255.3699951171875,5704100
