B,B,B,B,B
Open,High,Low,Close,Volume
20.260419799825762,20.6046506021249,19.719485145953705,19.729320526123047,24884000
20.230914137305817,20.299759924210846,19.739156372661895,19.89651870727539,17423800
20.162069095251294,20.2309148846997,19.85717979516245,20.04404640197754,23212900
20.112893601910493,20.329266346013814,19.76866278672705,19.876848220825195,21014500
20.01454240052236,20.24075053339205,19.788334267652672,20.093223571777344,23793800
20.103058014213914,20.41778268454175,20.073551872905554,20.35877227783203,22900400
20.5063015114837,20.86036586699719,20.368608045982747,20.663663864135742,28650000
20.40794723272275,20.614484593437837,19.867014441977236,19.89651870727539,19728400
19.483443081090723,19.837509289573024,19.34575150041743,19.562124252319336,18777700
19.837508263011788,20.181739072788698,19.71948557432282,19.965364456176758,21676500
19.99487039727919,20.221078516103944,19.768662278454435,19.84734344482422,15378000
19.60146636034222,19.670312152731636,19.35558745843307,19.522785186767578,17809700
19.453937649548948,19.867014242743643,19.375256483031244,19.77849769592285,20035000
19.630971138388876,19.65064190127076,19.434269137291672,19.552289962768555,12705300
19.453937297410107,19.581793487221912,19.188387661754494,19.335914611816406,18790900
19.198223041879547,19.365420752191568,18.981848430942254,19.335914611816406,15813700
19.404761287056676,19.768662864751334,19.27690509137895,19.73915672302246,17777000
19.876849441966574,20.0047075209017,19.591630892485462,19.660476684570312,15202000
19.552288556243795,19.77849856129825,19.44410311999034,19.6506404876709,8026600
19.640804715646926,19.89651898190014,19.581794308329115,19.876848220825195,13371000
19.926026111291797,20.240750800464454,19.37525790523965,19.61130142211914,23150700
19.876849258669715,20.14239891932574,19.758828437871784,20.00470733642578,15715000
20.171904489336807,20.791518470688725,20.1128940806145,20.575145721435547,22610900
20.78168395772636,20.99805859192206,20.486630025886775,20.516136169433594,20233500
20.75217788047566,20.899704833530954,20.66366133346109,20.840694427490234,19833000
20.516135086713692,20.84069514497174,20.260420817191132,20.457122802734375,22023700
20.604650766901905,20.66366117248291,19.601464492489963,19.985034942626953,30715700
19.65063902997198,19.68014516998344,19.139210525214846,19.286739349365234,30912000
19.208059610109537,19.660475868404315,19.168718087175872,19.6506404876709,17392100
19.758829288226593,19.98503743441381,19.670312730865124,19.945697784423828,21333800
19.719486236572266,19.78833390156539,19.394926176661485,19.719486236572266,27305600
19.296575947886026,19.375257116978133,18.84415781867614,19.00152015686035,26654300
19.031025319297573,19.21789378973922,18.726136039245265,18.73596954345703,18207000
18.82448726599511,18.89333305522511,18.499927205405783,18.588443756103516,17086800
18.73597099279124,18.775312516309384,18.460587831792612,18.56877326965332,14611400
17.60492817013773,18.185202501312993,17.418059688257458,18.126192092895508,27157700
17.88031343354126,18.23437964043343,17.56558875004026,18.17536735534668,33275500
17.98849997666701,18.116356170399154,17.83113576574798,18.0966854095459,27997700
17.211522556426004,17.437730688378476,17.01481869113259,17.113170623779297,35712600
16.90663291530519,16.995149465325667,16.552566715223286,16.73943519592285,35734000
16.9558063890624,16.995147908092065,16.46404865663284,16.513225555419922,24212900
16.434543565293662,16.768938994740722,16.336193513262057,16.572237014770508,31983200
16.591908686138613,16.6312483339289,16.316523647978208,16.375534057617188,19671400
16.808282254463535,16.93613846087074,16.6902595535508,16.91646957397461,31096800
17.123007175890194,17.467238025746365,17.054161381100403,17.42789649963379,30019100
17.41805778428093,17.71311354592978,17.349212002668256,17.595090866088867,26311200
17.791798176598405,17.88031473476315,17.536083883667718,17.821304321289062,25000300
17.90981755807302,17.978665223461295,17.713115570399157,17.919652938842773,21787100
17.28036631857894,17.447564021684823,17.083664352276454,17.388553619384766,24935400
17.231192961332397,17.408226061249252,17.073830622718983,17.270532608032227,27768400
17.3393792157223,17.457401913210752,17.211523013024685,17.28036880493164,21836300
17.44852132538507,17.478196361599498,17.260585089294775,17.30014991760254,10448700
17.18145645195944,17.270477802369424,16.983626617026946,17.023191452026367,19835200
17.16167193168919,17.547438008435442,17.16167193168919,17.41884994506836,19190400
