PLTR,PLTR,PLTR,PLTR,PLTR
Open,High,Low,Close,Volume
35.900001525878906,37.11000061035156,35.87099838256836,36.380001068115234,66279800
37.0,37.349998474121094,36.20000076293945,36.83000183105469,59882000
36.0099983215332,37.290000915527344,35.709999084472656,37.20000076293945,450290500
36.86000061035156,38.189998626708984,36.56999969482422,37.95000076293945,79460700
37.970001220703125,37.97999954223633,36.43000030517578,36.900001525878906,79519200
36.88999938964844,37.18000030517578,36.382999420166016,37.119998931884766,46511700
37.2599983215332,37.439998626708984,36.599998474121094,37.099998474121094,48602000
36.90999984741211,37.470001220703125,36.59000015258789,36.84000015258789,43219100
36.58000183105469,37.31999969482422,36.150001525878906,37.20000076293945,42110200
37.209999084472656,37.560001373291016,36.04999923706055,36.459999084472656,52858000
36.29999923706055,37.68000030517578,36.14500045776367,37.4900016784668,34988900
37.45000076293945,39.290000915527344,37.369998931884766,39.2400016784668,57196400
39.650001525878906,40.290000915527344,39.400001525878906,40.0099983215332,62532500
39.900001525878906,40.150001525878906,38.775001525878906,38.88999938964844,44124800
39.290000915527344,41.4900016784668,39.01499938964844,41.45000076293945,62542900
41.54999923706055,43.34000015258789,41.209999084472656,43.130001068115234,86404700
42.91999816894531,43.87799835205078,42.40999984741211,43.52000045776367,62516300
43.400001525878906,44.380001068115234,42.619998931884766,43.5099983215332,66206900
43.720001220703125,44.38999938964844,43.279998779296875,43.400001525878906,41010900
43.474998474121094,43.68000030517578,41.51499938964844,42.43000030517578,48297000
42.400001525878906,42.4900016784668,40.36000061035156,41.93000030517578,59157900
42.150001525878906,42.70000076293945,41.61000061035156,42.0,34028400
42.01499938964844,42.9900016784668,41.650001525878906,42.970001220703125,33969000
42.86000061035156,43.400001525878906,42.40999984741211,42.70000076293945,30719800
42.689998626708984,43.4900016784668,42.29999923706055,42.939998626708984,27830700
42.849998474121094,43.68000030517578,42.05500030517578,42.59000015258789,35647000
42.88999938964844,43.72999954223633,42.65999984741211,43.560001373291016,34079600
43.849998474121094,45.06999969482422,43.64500045776367,44.86000061035156,50416500
45.04999923706055,45.13999938964844,44.68000030517578,44.970001220703125,36729700
44.900001525878906,45.06999969482422,44.040000915527344,44.93000030517578,26154700
44.58000183105469,44.79999923706055,43.61000061035156,43.689998626708984,31309200
42.790000915527344,43.31999969482422,40.900001525878906,41.560001373291016,50973400
41.93000030517578,42.56999969482422,41.59000015258789,41.91999816894531,33722500
41.08000183105469,42.040000915527344,41.03200149536133,41.40999984741211,75413300
47.86000061035156,51.57500076293945,46.86000061035156,51.130001068115234,208868200
53.439998626708984,55.689998626708984,51.61000061035156,55.529998779296875,114255900
55.81999969482422,56.470001220703125,53.54999923706055,55.880001068115234,121591200
55.56999969482422,58.47999954223633,55.29999923706055,58.38999938964844,84124000
60.132999420166016,62.08000183105469,58.689998626708984,60.2400016784668,108357800
59.0099983215332,60.09000015258789,58.56999969482422,59.849998474121094,59061300
61.52000045776367,63.38999938964844,59.849998474121094,60.70000076293945,85937400
61.04999923706055,61.16999816894531,58.529998779296875,59.18000030517578,59968200
61.0099983215332,66.0,60.90999984741211,65.7699966430664,155280400
64.91999816894531,64.91999816894531,58.849998474121094,61.2599983215332,136663100
59.5099983215332,63.0099983215332,59.26499938964844,62.97999954223633,75557800
62.59000015258789,63.08000183105469,59.959999084472656,62.119998931884766,59182200
62.040000915527344,63.400001525878906,60.89500045776367,61.36000061035156,56336700
61.599998474121094,64.44000244140625,61.369998931884766,64.3499984741211,61381700
66.9000015258789,67.87999725341797,64.08000183105469,64.6500015258789,80640500
64.56999969482422,65.8499984741211,63.88999938964844,65.73999786376953,46923600
66.23999786376953,67.55999755859375,64.23999786376953,66.05000305175781,53839900
65.88999938964844,67.16000366210938,65.47000122070312,67.08000183105469,30104000
67.44000244140625,67.87999725341797,65.95999908447266,66.38999938964844,46405000
66.41000366210938,71.37000274658203,66.1500015258789,70.95999908447266,100751400
71.12999725341797,71.18000030517578,67.27999877929688,69.8499984741211,86284800
70.11000061035156,72.9800033569336,69.88999938964844,71.87000274658203,66585800
72.94999694824219,76.81999969482422,72.27999877929688,76.33999633789062,93640900
80.58000183105469,80.91000366210938,71.05000305175781,72.45999908447266,168134800
71.98999786376953,75.55999755859375,70.7300033569336,70.88999938964844,89672500
72.9800033569336,73.0,68.06999969482422,72.51000213623047,89477700
72.30000305175781,75.37999725341797,71.9000015258789,73.19999694824219,73859700
73.48999786376953,76.0999984741211,72.44999694824219,76.06999969482422,76172800
75.05999755859375,77.81999969482422,71.16000366210938,75.75,126099600
73.27999877929688,75.31999969482422,71.69999694824219,74.38999938964844,75469400
74.30000305175781,77.5999984741211,70.2699966430664,71.51000213623047,109643400
73.98999786376953,76.58999633789062,73.37000274658203,74.20999908447266,99524300
72.63999938964844,80.66000366210938,71.5,80.55000305175781,281230800
80.6500015258789,82.0199966430664,77.41000366210938,80.69000244140625,93819500
81.08999633789062,84.7969970703125,81.0,82.37999725341797,64983300
83.16000366210938,83.48999786376953,81.30000305175781,82.13999938964844,60377100
81.41999816894531,82.0,77.93000030517578,79.08000183105469,66975900
77.04000091552734,79.23999786376953,76.11000061035156,77.18000030517578,60850900
77.58000183105469,77.9800033569336,73.6500015258789,75.62999725341797,56267900
76.19999694824219,76.52999877929688,72.41999816894531,75.19000244140625,72217200
75.38999938964844,79.9800033569336,75.19000244140625,79.88999938964844,62415000
78.69000244140625,80.05999755859375,74.61000061035156,75.91999816894531,105619500
75.19999694824219,75.38999938964844,69.75,69.98999786376953,91727300
