AMZN,AMZN,AMZN,AMZN,AMZN
Open,High,Low,Close,Volume
186.4499969482422,188.8000030517578,185.05999755859375,186.42999267578125,34448100
190.0399932861328,190.99000549316406,188.47000122070312,189.8699951171875,39543200
190.22999572753906,191.83999633789062,187.41000366210938,191.60000610351562,100378600
191.63999938964844,194.4499969482422,190.57000732421875,193.8800048828125,36993100
194.27000427246094,195.3699951171875,190.1300048828125,193.9600067138672,43478900
193.75,193.9499969482422,192.16000366210938,192.52999877929688,26391100
194.30999755859375,194.52999877929688,189.5399932861328,191.16000366210938,36334900
190.67999267578125,190.89999389648438,187.33999633789062,187.97000122070312,36002300
187.13999938964844,188.49000549316406,184.64999389648438,186.3300018310547,41583900
184.89999389648438,186.19000244140625,183.4499969482422,185.1300048828125,36044900
184.44000244140625,186.60000610351562,184.0399932861328,184.75999450683594,23704100
183.0500030517578,183.44000244140625,180.8800048828125,181.9600067138672,30204300
185.75,187.60000610351562,183.60000610351562,186.50999450683594,40890300
182.9499969482422,183.60000610351562,180.25,180.8000030517578,42364200
181.9199981689453,183.08999633789062,180.9199981689453,182.72000122070312,26372100
182.82000732421875,185.85000610351562,182.0500030517578,185.1699981689453,26343100
187.1300048828125,188.1300048828125,185.8300018310547,186.64999389648438,27785000
186.6300048828125,189.92999267578125,186.3000030517578,188.82000732421875,25751600
189.77999877929688,189.8300018310547,187.36000061035156,187.5399932861328,22614400
187.6300048828125,188.41000366210938,184.5800018310547,187.69000244140625,32178900
187.0500030517578,187.77999877929688,185.61000061035156,186.88999938964844,23456800
188.22000122070312,188.94000244140625,186.0,187.52999877929688,25039400
187.14999389648438,190.74000549316406,186.27999877929688,188.99000549316406,37417700
188.0500030517578,189.4600067138672,186.39999389648438,189.07000732421875,24639400
188.35000610351562,191.52000427246094,186.97999572753906,189.6999969482422,29650600
188.85000610351562,189.16000366210938,183.69000244140625,184.7100067138672,31937100
185.25,187.11000061035156,183.86000061035156,186.3800048828125,21647400
187.85000610351562,190.4499969482422,187.52999877929688,187.8300018310547,29362100
189.57000732421875,190.2100067138672,188.2100067138672,188.38999938964844,27930800
188.5800018310547,191.4600067138672,187.82000732421875,190.8300018310547,35690200
194.6999969482422,195.61000061035156,192.4199981689453,192.72999572753906,37707600
190.50999450683594,190.60000610351562,185.22999572753906,186.39999389648438,75146800
199.0,200.5,197.02000427246094,197.92999267578125,99687800
196.4499969482422,197.3300018310547,194.30999755859375,195.77999877929688,38492100
196.0399932861328,199.82000732421875,195.99000549316406,199.5,30564800
200.00999450683594,207.5500030517578,199.13999938964844,207.08999633789062,72292200
207.44000244140625,212.25,207.19000244140625,210.0500030517578,52878400
209.72000122070312,209.9600067138672,207.44000244140625,208.17999267578125,36075800
208.5,209.64999389648438,205.58999633789062,206.83999633789062,35456000
208.3699951171875,209.5399932861328,206.00999450683594,208.91000366210938,38942900
209.39999389648438,215.08999633789062,209.13999938964844,214.10000610351562,46212900
214.16000366210938,215.89999389648438,210.8800048828125,211.47999572753906,42620300
206.75999450683594,207.33999633789062,199.61000061035156,202.61000061035156,86591100
204.14999389648438,204.6699981689453,200.9499969482422,201.6999969482422,36409900
199.3300018310547,205.3000030517578,198.77999877929688,204.61000061035156,31197900
202.97999572753906,203.1300048828125,199.4499969482422,202.8800048828125,32769000
203.49000549316406,203.49000549316406,195.75,198.3800048828125,58800000
198.25,199.25999450683594,196.75,197.1199951171875,31530800
199.27999877929688,201.9499969482422,199.0,201.4499969482422,40685700
201.89999389648438,208.0,201.7899932861328,207.86000061035156,41673700
206.97999572753906,207.63999938964844,205.0500030517578,205.74000549316406,28061600
205.8300018310547,208.1999969482422,204.58999633789062,207.88999938964844,24892400
209.9600067138672,212.99000549316406,209.50999450683594,210.7100067138672,39523200
210.30999755859375,214.02000427246094,209.64999389648438,213.44000244140625,32214800
215.9600067138672,220.0,215.75,218.16000366210938,48745700
218.02999877929688,222.14999389648438,217.3000030517578,220.5500030517578,41140200
220.75,227.14999389648438,220.60000610351562,227.02999877929688,44178100
227.2100067138672,230.0800018310547,225.6699981689453,226.08999633789062,46819400
226.08999633789062,229.05999755859375,224.1999969482422,225.0399932861328,31199900
226.41000366210938,231.1999969482422,226.25999450683594,230.25999450683594,35385800
229.8300018310547,231.08999633789062,227.6300048828125,228.97000122070312,28204100
228.39999389648438,230.1999969482422,225.86000061035156,227.4600067138672,28768100
230.22999572753906,233.0,228.00999450683594,232.92999267578125,37552100
232.38999938964844,232.72999572753906,227.85000610351562,231.14999389648438,35948100
230.77000427246094,231.39999389648438,220.11000061035156,220.52000427246094,43281400
224.91000366210938,226.08999633789062,222.9199981689453,223.2899932861328,39918700
219.83999633789062,226.2100067138672,218.72999572753906,224.9199981689453,88279200
225.00999450683594,226.8800048828125,223.89999389648438,225.05999755859375,28070000
226.94000244140625,229.13999938964844,226.1300048828125,229.0500030517578,15007500
228.5,228.5,226.6699981689453,227.0500030517578,16146700
225.60000610351562,226.02999877929688,220.89999389648438,223.75,27367100
220.05999755859375,223.0,218.42999267578125,221.3000030517578,28321200
222.97000122070312,223.22999572753906,218.94000244140625,219.38999938964844,24819700
222.02999877929688,225.14999389648438,218.19000244140625,220.22000122070312,33956600
222.50999450683594,225.36000061035156,221.6199951171875,224.19000244140625,27515600
226.77999877929688,228.83999633789062,224.83999633789062,227.61000061035156,31849800
227.89999389648438,228.3800048828125,221.4600067138672,222.11000061035156,28084200
223.19000244140625,223.52000427246094,220.1999969482422,222.1300048828125,25033300
221.4600067138672,221.7100067138672,216.5,218.94000244140625,36811500
