JMIA,JMIA,JMIA,JMIA,JMIA
Open,High,Low,Close,Volume
4.679999828338623,4.960000038146973,4.579999923706055,4.630000114440918,2207900
4.889999866485596,4.985000133514404,4.703000068664551,4.71999979019165,2036000
4.710000038146973,4.78000020980835,4.598999977111816,4.670000076293945,1337800
4.670000076293945,4.670000076293945,4.46999979019165,4.510000228881836,1417300
4.550000190734863,4.730000019073486,4.514999866485596,4.639999866485596,1636300
4.679999828338623,4.889999866485596,4.639999866485596,4.659999847412109,2328500
4.829999923706055,5.288000106811523,4.695000171661377,5.210000038146973,4771200
5.460000038146973,5.570000171661377,5.199999809265137,5.300000190734863,4073800
5.300000190734863,5.570000171661377,5.179999828338623,5.340000152587891,3919500
5.320000171661377,5.369999885559082,5.079999923706055,5.170000076293945,3101800
5.059999942779541,5.619999885559082,4.980000019073486,5.610000133514404,3965100
5.510000228881836,5.75,5.369999885559082,5.559999942779541,3178600
5.699999809265137,6.0,5.5,5.869999885559082,3559500
5.929999828338623,5.980000019073486,5.479000091552734,5.599999904632568,3015900
5.489999771118164,5.610000133514404,5.380000114440918,5.460000038146973,1722400
5.400000095367432,5.429999828338623,5.114999771118164,5.130000114440918,3017900
5.090000152587891,5.179999828338623,4.989999771118164,5.139999866485596,1577600
5.110000133514404,5.579999923706055,5.059999942779541,5.429999828338623,2768500
5.420000076293945,5.460000038146973,5.25,5.269999980926514,1495300
5.269999980926514,5.269999980926514,4.940000057220459,5.059999942779541,2261600
5.139999866485596,5.21999979019165,4.940000057220459,5.03000020980835,1897100
5.03000020980835,5.039999961853027,4.815000057220459,4.920000076293945,2001100
5.0,5.090000152587891,4.869999885559082,4.909999847412109,1994500
4.809999942779541,4.835000038146973,4.650000095367432,4.800000190734863,2570800
4.75,4.908999919891357,4.679999828338623,4.869999885559082,1311800
4.849999904632568,4.849999904632568,4.564000129699707,4.690000057220459,1662300
4.739999771118164,4.820000171661377,4.679999828338623,4.710000038146973,1008700
4.820000171661377,5.059999942779541,4.739999771118164,4.760000228881836,3623800
4.889999866485596,5.175000190734863,4.809999942779541,5.099999904632568,2668300
5.099999904632568,5.159999847412109,4.960000038146973,5.03000020980835,1667600
5.010000228881836,5.010000228881836,4.760000228881836,4.78000020980835,1578200
4.769999980926514,4.820000171661377,4.519999980926514,4.599999904632568,2273900
4.599999904632568,4.75,4.539999961853027,4.570000171661377,1669400
4.590000152587891,4.739999771118164,4.489999771118164,4.619999885559082,1425600
4.659999847412109,4.75,4.610000133514404,4.71999979019165,1325200
4.800000190734863,4.820000171661377,4.534999847412109,4.820000171661377,2853500
4.360000133514404,4.380000114440918,3.9000000953674316,4.0,7146500
4.010000228881836,4.010000228881836,3.640000104904175,3.819999933242798,4994300
3.8499999046325684,4.019999980926514,3.690000057220459,4.019999980926514,3033400
3.990000009536743,4.210000038146973,3.9000000953674316,4.010000228881836,2545500
4.010000228881836,4.070000171661377,3.8499999046325684,3.880000114440918,2179000
3.9000000953674316,3.930000066757202,3.700000047683716,3.7100000381469727,2197100
3.7799999713897705,3.809000015258789,3.680000066757202,3.7200000286102295,1721700
3.7200000286102295,3.809999942779541,3.680000066757202,3.740000009536743,1350700
3.700000047683716,3.759000062942505,3.634999990463257,3.7200000286102295,1539600
3.7200000286102295,3.884999990463257,3.6700000762939453,3.8299999237060547,2326900
3.809999942779541,3.8299999237060547,3.634999990463257,3.640000104904175,2933100
3.5999999046325684,3.8399999141693115,3.5199999809265137,3.799999952316284,3405700
3.950000047683716,4.249000072479248,3.940000057220459,4.110000133514404,4470900
4.110000133514404,4.369999885559082,3.9100000858306885,3.9600000381469727,3888300
4.070000171661377,4.090000152587891,3.950000047683716,3.9800000190734863,2370500
4.0,4.034999847412109,3.890000104904175,3.9000000953674316,1531800
3.880000114440918,3.950000047683716,3.7899999618530273,3.869999885559082,2276100
3.740000009536743,3.890000104904175,3.700000047683716,3.75,2322100
3.700000047683716,3.819999933242798,3.6089999675750732,3.7899999618530273,3639400
3.9100000858306885,4.78000020980835,3.8299999237060547,4.53000020980835,12808000
4.71999979019165,4.980000019073486,4.460000038146973,4.570000171661377,7968500
4.699999809265137,5.340000152587891,4.664999961853027,5.059999942779541,8676100
5.0,5.0,4.539999961853027,4.619999885559082,4563600
4.699999809265137,4.989999771118164,4.53000020980835,4.75,3651900
4.710000038146973,4.857999801635742,4.579999923706055,4.639999866485596,2708100
4.659999847412109,4.710000038146973,4.309999942779541,4.349999904632568,3452900
4.349999904632568,4.53000020980835,4.21999979019165,4.46999979019165,3376200
4.409999847412109,4.739999771118164,4.309999942779541,4.570000171661377,3478400
4.53000020980835,4.619999885559082,4.119999885559082,4.179999828338623,3247400
4.269999980926514,4.355000019073486,3.9600000381469727,3.9600000381469727,3251300
3.950000047683716,4.130000114440918,3.819999933242798,4.03000020980835,5330700
4.03000020980835,4.067999839782715,3.9200000762939453,3.990000009536743,1935500
4.090000152587891,4.255000114440918,4.051000118255615,4.21999979019165,1978100
4.159999847412109,4.210000038146973,4.010000228881836,4.139999866485596,2692100
4.03000020980835,4.079999923706055,3.924999952316284,4.010000228881836,2466300
3.9000000953674316,3.9800000190734863,3.859999895095825,3.9200000762939453,2204000
3.9800000190734863,4.050000190734863,3.7699999809265137,3.819999933242798,2346200
3.8499999046325684,4.079999923706055,3.8399999141693115,3.9000000953674316,2281200
3.990000009536743,4.039999961853027,3.9000000953674316,3.950000047683716,2268300
4.039999961853027,4.269999980926514,4.039999961853027,4.150000095367432,2787700
4.159999847412109,4.224999904632568,4.0,4.019999980926514,2001100
