Ticker
AAPL
MSFT
GOOG
AMZN
NVDA
META
TSLA
BRK-B
LLY
JPM
V
WMT
JNJ
UNH
PG
XOM
ORCL
AVGO
HD
MA
CVX
ABBV
BAC
KO
PEP
NFLX
COST
MRK
TMO
CSCO
MCD
ACN
TXN
CRM
AMD
INTC
IBM
QCOM
GE
UPS
CAT
GS
AMGN
HON
DE
LOW
NEE
RTX
PM
UNP
LIN
ADBE
MDLZ
BKNG
SPGI
AXP
ISRG
COP
CVS
SCHW
MS
BLK
PFE
LMT
C
DUK
SO
USB
T
BA
AMAT
VRTX
REGN
GILD
BIIB
MO
BK
AIG
AON
MMC
CI
BDX
SYK
ETN
ADP
FDX
GM
F
DHR
APD
EMR
CL
DOW
KHC
TGT
ALL
MET
PRU
PNC
NEM
SPY
GLD
SHV
